document_id,chunk_index,selection_stratum,selection_note,pre_screen_skip_code,document_integrity_flag,chunk_integrity_score,corrupted_region_lines,v1_count,v1_texts,v2_qwen3-4b_retained_count,v2_qwen3-4b_rejected_count,v2_qwen3-4b_rejection_codes,v2_qwen3-4b_texts,missed_expression,notes
2008-the-oxford-handbook-of-new-religious-movements-1,33,random,"detached-accent document, edited handbook",,detached_accents,0.469,0,6,"The term 'cult apologist' was initially used in presentations at the annual meetings of the now defunct Cult Awareness Network in the early 1990s || It was implicit in the court cases brought against two professional associations and a spectrum of new religions scholars || Singer and Ofshe had been most effected by the negative court ruling on brainwashing testimony || Following the dismissal of their lawsuit, the term was picked up by representatives of the secular and Christian movements opposing 'cults' || It has most recently been raised as a matter of discussion in 1998 by sociologist Benjamin Zablocki || Zablocki's article resulted in a symposium discussion published as 'Academic Integrity and the Study of New Religious Movements'",1,0,,"The term 'cult apologist' was initially used in presentations at the annual meetings of the now defunct Cult Awareness Network in the early 1990s, following the rejection of brainwashing testimony in the courts.",,
2008-the-oxford-handbook-of-new-religious-movements-1,114,random,"detached-accent document, edited handbook",,detached_accents,0.0,0,7,central question: is online religion virtual or actual || how online religious ritual participation compares to real-life practices || differences between online and real-life religious practices || how technology affects online religious experience || does the Internet enable unique religious evolution or just advanced strategies || whether virtual environments are more congenial for religious groups || online religious observance unlikely to replace physical church attendance but offers unique opportunities for fluid movements,0,0,,,,
2008-the-oxford-handbook-of-new-religious-movements-1,411,random,"detached-accent document, edited handbook",,detached_accents,0.0,0,3,the Church of Scientology would seem to have worked hard at solving the problem of disconfirmation || it is an almost fail-safe strategy to promise followers that their skills in a variety of areas will be significantly enhanced || Esoteric religions can thus even be connected with specific cognitive strategies,1,0,,the Church of Scientology would seem to have worked hard at solving the problem of disconfirmation,,
clarke-2004-encyclopedia-of-new-religious-movements,120,random,"entry-style prose, v1's largest short-fragment source",,,0.0,0,9,"Chaos Magick could be described as the union of traditional occult ideas with applied post-modernism || handson practical magic without religion || There is no creed in Chaos Magick, no set of beliefs which all must follow || extreme states of consciousness lead to parapsychological events || harness these states to produce controlled results || It is techniques and intention that are important in successful magic || certain techniques produce magical results regardless of the belief system || use popular culture including science fiction and fantasy || all the great traditional magical systems were invented at some point",2,0,,"Chaos Magick could be described as the union of traditional occult ideas (see Esoteric Movements ) with applied post-modernism. || Chaos Magick is the creation of two magicians, Peter J.Carroll and Ray Sherwin, though Carroll is seen as its main theorist, with his books Liber Null & Psychonaut, Liber Chaos, and Psybermagick .",,
clarke-2004-encyclopedia-of-new-religious-movements,496,random,"entry-style prose, v1's largest short-fragment source",,,0.0,0,7,"The term 'Peyote Cult' was first coined early in the twentieth century to describe the use of peyote amongst the Winnebago, and later applied to peyote use among other tribes and the Native American Church (NAC) || The Native American Church (NAC) began using peyote ritually in the early twentieth century || The first Europeans to encounter and describe the peyote ceremonies were Spanish missionaries in sixteenth-century Mexico || This negative view is still prevalent amongst local government, the police, religious leaders, and even some Native Americans || The use of mescaline-containing plants is illegal, except for registered members of the NAC in the United States and certain tribes in Mexico || In Europe, plants containing mescaline are illegal for everyone || The NAC obtained legal recognition of their ceremonial use of the plant in the USA in the 1978 Act of Religious Freedom",2,0,,"The leader (Oshieoyasama), it is believed, takes on as form of expiation to God for wrongs that have been committed all the misfortunes of his followers. || The Native American Church (NAC) (see Native American religion ) began using peyote ritually in the early twentieth century",,
clarke-2004-encyclopedia-of-new-religious-movements,605,random,"entry-style prose, v1's largest short-fragment source",,,0.0,0,10,"State Shinto's glorification of death in battle || conflict with observance || forced members of new religions to choose between their faith and social ostracism || suppression of religions through charges of lèse-majesté || declined on Christian principles to pay obeisance || dissolution of a new religion called Honmichi || disbanded on charges of lèse-majesté || used in combination with charges of lèsemajesté to suppress minority religions || silenced and their leaders jailed through the combined charges of lèse-majesté || labeled all religious organizations except Buddhism, Shinto sects, and Christianity as 'pseudo-religions'",3,1,short_fragment_no_referent,State Shinto's glorification of death in battle was enacted at Tokyo's Yasukuni Shrine || the beliefs of new religions such as Sôka Gakkai conflicted with that observance || the Imperial Rescript on Education (1890),,
davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america,3,random,relevance-boundary (legal/policy prose),,,0.0,0,17,"The point of Melton's essay is not to make an apologia for Scientology || He takes no position on the truth or falsity of the group's claims || he seeks to show that its practices are not all that different from other ordered religious communities || Scientology is considered a dangerous cult that must be highly regulated or shut down || It is often difficult to pinpoint what facet of NRMs appears as most dangerous to the wider community || Susan Palmer, however, may have identified such a feature in her chapter on gender and sex roles || NRMs present a frontal challenge to traditional sex, gender, marital, and familial norms || Shaker founder Mother Ann Lee taught absolute celibacy, even within marriage || John Humphrey Noyes led his Oneida community into 'complex marriage' whereby nearly all the community's males were simultaneously married to all the females || Palmer steps back from contemporary NRMs to find patterns in gender roles and sexual relationships || the longer an NRM exists, the more it tends to move toward the mainstream || American culture has a seemingly inexhaustible capacity to co-opt radical groups and pull them into the mainstream of American life || It is more likely that the reverse will happen || those practicing Satanism and witchcraft have contended for status as most controversial of the NRMs || Wicca and Satanism, both of which consist of, as Richardson writes, 'small numbers of people doing things that are usually quite harmless to themselves and others' || such social problems, which by definition must be dealt with and overcome, can lead to a 'moral panic' and 'perceived danger' that is out of proportion to the actual threat || the anti-cult movement combined with the penchant for melding the identities of Satanism and Wicca will likely continue to foster difficulties for both movements into the foreseeable future",1,1,dangling_boundary,"the longer an NRM exists, the more it tends to move toward the mainstream.",,
davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america,8,random,relevance-boundary (legal/policy prose),,,0.0,0,17,"early British settlers who came to our shores for religious freedom did not themselves prove at all tolerant || early Puritans ... had themselves suffered plenty of persecution in England || they were as determined as any of their predecessors not to suffer the outrages of heretical doctrine and practice || refugees from Massachusetts made it their haven || Roger Williams went to Massachusetts as a minister for the church in Boston, but upon arrival refused to serve because the church had not formally separated itself from the Church of England || he compounded his problems with other heresies, including the patently outrageous idea that the settlers should not be stealing land from the Indians, as well as a set of convictions that amounted to a belief in the separation of church and state || By 1635, Williams was sentenced to deportation, and he responded by fleeing into the wilderness in 1636, heading south and eventually founding Providence || he has become a great Baptist hero now that he is more than three hundred years dead and nobody actually has to deal with him any more || one cannot help but wonder whether the current Southern Baptist leadership has ever looked at what its founding hero actually had to say || Anne Hutchinson was similarly expelled from Massachusetts for her challenges to the Massachusetts ministers and especially for her defense, in what was essentially her heresy trial, in which she committed the cardinal error of claiming that she had received special revelation, direct communication from God || Woe be to anyone to whom God speaks directly! || She and her supporters similarly found themselves starting life anew in the wilderness of Rhode Island || The early New Englanders also had an especially intense dislike of the Quakers || The Quakers were among the most radical of the Puritans || George Fox began to speak publicly of his faith, especially of his belief that one could have a direct revelation of Christ || He suffered persecution, but persevered and in 1652 organized a group of spiritual seekers in Lancashire || Quakers did indeed pose a threat to the established order",0,1,not_verbatim,,,
davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america,130,random,relevance-boundary (legal/policy prose),,,0.0,0,3,"Cults and witchcraft do not; in fact they lead to violent and unlawful behavior. || the Committee rejected the Helms Amendment because it deemed it 'legislation not appropriate to the Bill to which it was attached' || Wiccan worship and ritual was, by definition, 'sorcery' done with 'malicious intent'",1,0,,Cults and witchcraft do not; in fact they lead to violent and unlawful behavior.,,
dawson-2009-cults-and-new-religious-movements-a-reader,37,random,"clean text, multi-author reader",,,0.0,0,10,"lifestyle in world-rejecting movements is characteristically highly organized and controlled || need to generate adequate financial support imposes severe rigours on members || Life in a communal center is disciplined and most of the day is devoted to activities such as 'witnessing' on the street, giving and listening to lectures, and attending other functions || flower selling for a week now || generous donation of unusable burgers someone had begged from the McDonald's franchise || collecting over a thousand tax-free dollars daily || Success in fund-raising becomes an indicator of the member's own spiritual condition || fund-raising is interpreted by members less as an economic necessity than as a method of spiritual growth || Fund-raising was a powerful experience for me || A devotee must be prepared to give his entire self to lead a life of day to day obedience and service",0,28,validation_flag_false,,,
