review_id,arm,selection_stratum,document_id,chunk_index,page_range,candidate_rank,expression_kind,verbatim_expression,embedding_text,embedding_equals_verbatim,context_window,attribution,claim_mode,epistemic_status,entity_anchors,relevance_note,screen_flags,chunk_integrity_score,document_integrity_flag,raw_archive_line,judge_model,judge_faithful,judge_self_contained,judge_cult_relevant,judge_textually_intelligible,judge_atomic,judge_attribution_correct,judge_claim_mode_correct,judge_epistemic_status_correct,judge_recommended_epistemic_status,judge_better_span,judge_extraction_issue,judge_note,faithful,self_contained,cult_relevant,textually_intelligible,atomic,attribution_correct,claim_mode_correct,epistemic_status_correct,recommended_epistemic_status,better_span_exists_in_chunk,extraction_issue,reviewer_notes
1,v1,random,2008-the-oxford-handbook-of-new-religious-movements-1,33,49-49,,,"The term 'cult apologist' was initially used in presentations at the annual meetings of the now defunct Cult Awareness Network in the early 1990s, following the rejection of brainwashing testimony in the courts.",The term 'cult apologist' was initially used in presentations at the annual meetings of the now defunct Cult Awareness Network in the early 1990s,no,"9. Elmer T. Clark, The Small Sects in America (New York: Abingdon-Cokesbury, 1949).
10. See Wilson's various texts, including Sects and Society (Berkeley: University of California Press, 1961) and Religious Sects: A Sociological Study (London: Weidenfield and Nicolson, 1970).
11. A few of the more recent volumes to treat Jehovah's Witnesses and Christian Science as cults include Steven Hassan, Releasing the Bonds: Empowering People to Think for Themselves (Somerville, Mass.: Freedom of Mind Press, 2000); Linda S. Kramer, The Religion That Kills: Christian Science, Abuse Neglect, and Mind Control (Lafayette, La.: Huntington House Publishers, 2000); John Ankerberg and John Weldon, Encyclopedia of Cults and New Religions (Eugene, Ore.: Harvest House Publishers, 1999); and Philip Jenkins, Mystics and Messiahs: Cults and New Religions in American History (New York: Oxford University Press, 2000).
12. See Harry Thomsen, The New Religions of Japan (Rutland, Vt.: Charles E. Tuttle Company, 1963), and H. Neill McFarland, The Rush Hour of the Gods (New York: Macmillan, 1967). The process of the founding of new religions in Japan, of course, has continued unabated decade by decade to the present, shows no sign of slowing down, and has recently led to the designation of 'new new religions,' those groups whose founders and converts were born after 1945.
13. Jacob Needleman, The New Religions (New York: E. P. Dutton, 1970).
14. An overview of the brainwashing controversy was presented in my 'Brainwashing and the Cults: The Rise and Fall of a Theory,' in J. Gordon Melton and Massimo Introvigne, eds., Gehirnwa ¨sche und Secten: Interdisziplina ¨re Anna ¨herungen (Marburg, Germany: Dialogonal-Verlag, 2000). It is posted at http : //www.cesnur.org/testi/melton. htm. Important items highlighting the controversy include Thomas Robbins and Dick Anthony, 'The Limits of 'Coercive Persuasion' as an Explanation for Conversion to Authoritarian Sects,' Political Psychology 2, no. 22 (Summer 1980): 22-37; James T. Richardson and David G. Bromley, eds., The Brainwashing/Deprogramming Controversy (Lewiston, N.Y.: Edwin Mellen Press, 1983); Dick Anthony, 'Religious Movements and 'Brainwashing' Litigation: Evaluating Key Testimony,' in Thomas Robbins and Dick Anthony, eds., In Gods We Trust: New Patterns of Religious Pluralism in America , 2nd ed. (New Brunswick, N.J.: Transaction Press, 1989): 295-344; and James T. Richardson, 'A Social Psychological Critique of 'Brainwashing' Claims about Recruitment to New Religions,' in David G. Bromley and Jeffrey K. Hadden, eds., The Handbook of Cults and Sects in America: Religion and the Social Order, vol. 3, part B (Greenwich, Conn.: JAI Press, 1993).
15. The term 'cult apologist' was initially used in presentations at the annual meetings of the now defunct Cult Awareness Network in the early 1990s, following the rejection of brainwashing testimony in the courts. It was implicit in the court cases brought against two professional associations and a spectrum of new religions scholars by Margaret Singer, a psychotherapist most identified with the brainwashing hypothesis relative to new religions, and Richard Ofshe, a sociologist at the University of California, who had also testified on brainwashing in several court cases. Singer and Ofshe had been most effected by the negative court ruling on brainwashing testimony. Following the dismissal of their lawsuit, the term was picked up by representatives of the secular and Christian movements opposing 'cults' who opinions are primarily expressed in numerous Internet sites. It has most recently been raised as a matter of discussion in 1998 by sociologist Benjamin Zablocki, as part of his effort to revisit the brainwashing concept in his article 'The Blacklisting of a Concept: The Strange History of the Brainwashing Conjecture in the Sociology of Religion,' Nova Religio: The Journal of Alternative and Emergent Religions 1, no. 1 (October 1997). Zablocki's article resulted in a symposium discussion published as 'Academic Integrity and the Study of New Religious Movements,' Nova Religio 2, no. 1 (October 1988), and Benjamin Zablocki and Thomas Robbins, eds., Misunderstanding Cults (Toronto: University of Toronto Press, 2001).",author,direct_statement,asserted,cult apologist; Cult Awareness Network,,,0.469,detached_accents,790,,,,,,,,,,,,,,,,,,,,,,,,,
2,v1,random,2008-the-oxford-handbook-of-new-religious-movements-1,33,49-49,,,"It has most recently been raised as a matter of discussion in 1998 by sociologist Benjamin Zablocki, as part of his effort to revisit the brainwashing concept in his article 'The Blacklisting of a Concept: The Strange History of the Brainwashing Conjecture in the Sociology of Religion,' Nova Religio: The Journal of Alternative and Emergent Religions 1, no. 1 (October 1997).",It has most recently been raised as a matter of discussion in 1998 by sociologist Benjamin Zablocki,no,"9. Elmer T. Clark, The Small Sects in America (New York: Abingdon-Cokesbury, 1949).
10. See Wilson's various texts, including Sects and Society (Berkeley: University of California Press, 1961) and Religious Sects: A Sociological Study (London: Weidenfield and Nicolson, 1970).
11. A few of the more recent volumes to treat Jehovah's Witnesses and Christian Science as cults include Steven Hassan, Releasing the Bonds: Empowering People to Think for Themselves (Somerville, Mass.: Freedom of Mind Press, 2000); Linda S. Kramer, The Religion That Kills: Christian Science, Abuse Neglect, and Mind Control (Lafayette, La.: Huntington House Publishers, 2000); John Ankerberg and John Weldon, Encyclopedia of Cults and New Religions (Eugene, Ore.: Harvest House Publishers, 1999); and Philip Jenkins, Mystics and Messiahs: Cults and New Religions in American History (New York: Oxford University Press, 2000).
12. See Harry Thomsen, The New Religions of Japan (Rutland, Vt.: Charles E. Tuttle Company, 1963), and H. Neill McFarland, The Rush Hour of the Gods (New York: Macmillan, 1967). The process of the founding of new religions in Japan, of course, has continued unabated decade by decade to the present, shows no sign of slowing down, and has recently led to the designation of 'new new religions,' those groups whose founders and converts were born after 1945.
13. Jacob Needleman, The New Religions (New York: E. P. Dutton, 1970).
14. An overview of the brainwashing controversy was presented in my 'Brainwashing and the Cults: The Rise and Fall of a Theory,' in J. Gordon Melton and Massimo Introvigne, eds., Gehirnwa ¨sche und Secten: Interdisziplina ¨re Anna ¨herungen (Marburg, Germany: Dialogonal-Verlag, 2000). It is posted at http : //www.cesnur.org/testi/melton. htm. Important items highlighting the controversy include Thomas Robbins and Dick Anthony, 'The Limits of 'Coercive Persuasion' as an Explanation for Conversion to Authoritarian Sects,' Political Psychology 2, no. 22 (Summer 1980): 22-37; James T. Richardson and David G. Bromley, eds., The Brainwashing/Deprogramming Controversy (Lewiston, N.Y.: Edwin Mellen Press, 1983); Dick Anthony, 'Religious Movements and 'Brainwashing' Litigation: Evaluating Key Testimony,' in Thomas Robbins and Dick Anthony, eds., In Gods We Trust: New Patterns of Religious Pluralism in America , 2nd ed. (New Brunswick, N.J.: Transaction Press, 1989): 295-344; and James T. Richardson, 'A Social Psychological Critique of 'Brainwashing' Claims about Recruitment to New Religions,' in David G. Bromley and Jeffrey K. Hadden, eds., The Handbook of Cults and Sects in America: Religion and the Social Order, vol. 3, part B (Greenwich, Conn.: JAI Press, 1993).
15. The term 'cult apologist' was initially used in presentations at the annual meetings of the now defunct Cult Awareness Network in the early 1990s, following the rejection of brainwashing testimony in the courts. It was implicit in the court cases brought against two professional associations and a spectrum of new religions scholars by Margaret Singer, a psychotherapist most identified with the brainwashing hypothesis relative to new religions, and Richard Ofshe, a sociologist at the University of California, who had also testified on brainwashing in several court cases. Singer and Ofshe had been most effected by the negative court ruling on brainwashing testimony. Following the dismissal of their lawsuit, the term was picked up by representatives of the secular and Christian movements opposing 'cults' who opinions are primarily expressed in numerous Internet sites. It has most recently been raised as a matter of discussion in 1998 by sociologist Benjamin Zablocki, as part of his effort to revisit the brainwashing concept in his article 'The Blacklisting of a Concept: The Strange History of the Brainwashing Conjecture in the Sociology of Religion,' Nova Religio: The Journal of Alternative and Emergent Religions 1, no. 1 (October 1997). Zablocki's article resulted in a symposium discussion published as 'Academic Integrity and the Study of New Religious Movements,' Nova Religio 2, no. 1 (October 1988), and Benjamin Zablocki and Thomas Robbins, eds., Misunderstanding Cults (Toronto: University of Toronto Press, 2001).",author,direct_statement,asserted,Benjamin Zablocki,,,0.469,detached_accents,794,,,,,,,,,,,,,,,,,,,,,,,,,
3,v2_qwen3-4b,random,2008-the-oxford-handbook-of-new-religious-movements-1,33,49-49,1,definition,"The term 'cult apologist' was initially used in presentations at the annual meetings of the now defunct Cult Awareness Network in the early 1990s, following the rejection of brainwashing testimony in the courts.","The term 'cult apologist' was initially used in presentations at the annual meetings of the now defunct Cult Awareness Network in the early 1990s, following the rejection of brainwashing testimony in the courts.",yes,"9. Elmer T. Clark, The Small Sects in America (New York: Abingdon-Cokesbury, 1949).
10. See Wilson's various texts, including Sects and Society (Berkeley: University of California Press, 1961) and Religious Sects: A Sociological Study (London: Weidenfield and Nicolson, 1970).
11. A few of the more recent volumes to treat Jehovah's Witnesses and Christian Science as cults include Steven Hassan, Releasing the Bonds: Empowering People to Think for Themselves (Somerville, Mass.: Freedom of Mind Press, 2000); Linda S. Kramer, The Religion That Kills: Christian Science, Abuse Neglect, and Mind Control (Lafayette, La.: Huntington House Publishers, 2000); John Ankerberg and John Weldon, Encyclopedia of Cults and New Religions (Eugene, Ore.: Harvest House Publishers, 1999); and Philip Jenkins, Mystics and Messiahs: Cults and New Religions in American History (New York: Oxford University Press, 2000).
12. See Harry Thomsen, The New Religions of Japan (Rutland, Vt.: Charles E. Tuttle Company, 1963), and H. Neill McFarland, The Rush Hour of the Gods (New York: Macmillan, 1967). The process of the founding of new religions in Japan, of course, has continued unabated decade by decade to the present, shows no sign of slowing down, and has recently led to the designation of 'new new religions,' those groups whose founders and converts were born after 1945.
13. Jacob Needleman, The New Religions (New York: E. P. Dutton, 1970).
14. An overview of the brainwashing controversy was presented in my 'Brainwashing and the Cults: The Rise and Fall of a Theory,' in J. Gordon Melton and Massimo Introvigne, eds., Gehirnwa ¨sche und Secten: Interdisziplina ¨re Anna ¨herungen (Marburg, Germany: Dialogonal-Verlag, 2000). It is posted at http : //www.cesnur.org/testi/melton. htm. Important items highlighting the controversy include Thomas Robbins and Dick Anthony, 'The Limits of 'Coercive Persuasion' as an Explanation for Conversion to Authoritarian Sects,' Political Psychology 2, no. 22 (Summer 1980): 22-37; James T. Richardson and David G. Bromley, eds., The Brainwashing/Deprogramming Controversy (Lewiston, N.Y.: Edwin Mellen Press, 1983); Dick Anthony, 'Religious Movements and 'Brainwashing' Litigation: Evaluating Key Testimony,' in Thomas Robbins and Dick Anthony, eds., In Gods We Trust: New Patterns of Religious Pluralism in America , 2nd ed. (New Brunswick, N.J.: Transaction Press, 1989): 295-344; and James T. Richardson, 'A Social Psychological Critique of 'Brainwashing' Claims about Recruitment to New Religions,' in David G. Bromley and Jeffrey K. Hadden, eds., The Handbook of Cults and Sects in America: Religion and the Social Order, vol. 3, part B (Greenwich, Conn.: JAI Press, 1993).
15. The term 'cult apologist' was initially used in presentations at the annual meetings of the now defunct Cult Awareness Network in the early 1990s, following the rejection of brainwashing testimony in the courts. It was implicit in the court cases brought against two professional associations and a spectrum of new religions scholars by Margaret Singer, a psychotherapist most identified with the brainwashing hypothesis relative to new religions, and Richard Ofshe, a sociologist at the University of California, who had also testified on brainwashing in several court cases. Singer and Ofshe had been most effected by the negative court ruling on brainwashing testimony. Following the dismissal of their lawsuit, the term was picked up by representatives of the secular and Christian movements opposing 'cults' who opinions are primarily expressed in numerous Internet sites. It has most recently been raised as a matter of discussion in 1998 by sociologist Benjamin Zablocki, as part of his effort to revisit the brainwashing concept in his article 'The Blacklisting of a Concept: The Strange History of the Brainwashing Conjecture in the Sociology of Religion,' Nova Religio: The Journal of Alternative and Emergent Religions 1, no. 1 (October 1997). Zablocki's article resulted in a symposium discussion published as 'Academic Integrity and the Study of New Religious Movements,' Nova Religio 2, no. 1 (October 1988), and Benjamin Zablocki and Thomas Robbins, eds., Misunderstanding Cults (Toronto: University of Toronto Press, 2001).",author,direct_statement,asserted,,Defines 'cult apologist' as a term used in early 1990s court context.,,0.469,detached_accents,,qwen3:8b,True,True,True,True,True,True,True,True,,,none,"The expression defines 'cult apologist' and is self-contained, relevant to cults, and accurately attributed.",,,,,,,,,,,,
4,v1,random,2008-the-oxford-handbook-of-new-religious-movements-1,114,138-138,,,"For online religion , however, the central question remains: not unlike Memorex, is it virtual or is it actual?",central question: is online religion virtual or actual,no,"The founders of Beliefnet.com believe that the business of religion online represents a $40 billion per year market. For online religion , however, the central question remains: not unlike Memorex, is it virtual or is it actual? How is online participation in religious ritual or liturgy similar to these practices in real life? In what ways does it differ? How do the different technological and metatechnological factors associated with religious observance in cyberspace enhance or constrain the experience? Does the Internet offer unique opportunities for religious evolution, or merely more advanced versions of strategies already deployed? Are particular groups more likely to find the virtual environment more congenial to their religious vision, and perhaps less threatening than the real world?
With regard to this last question, we would like to suggest that there are, indeed, religious groups for whom the Internet is a more accommodating environment-for religious innovation, for an enhanced sense of control over one's religious life, and for the ability to contribute to the ongoing development of the tradition(s) in which that life is located. While it is highly unlikely that online religious observance will take the place of mass at one's local parish church, for certain new religious movements-especially those which are doctrinally, traditionally, and liturgically fluid-e-space presents an opportunity unparalleled in religious history.
In this chapter, following a review of the current research into new or controversial religious movements and the Internet, we would like to explore three aspects of the intersection between these movements and the constantly evolving virtual world: (a) the Internet as a medium for the emergence and evolution of new religions; (b) the Internet as a stage for the virtual practice of online religion; and (c) the Internet as a platform for conflict over religious lineage and authority.
Current Research
The growing literature on the relationship between religion and the Internet ranges across traditions, and from perspectives that vary from the academic to the evangelistic, and the celebratory to the admonitory (cf., for example, Brasher 2001; Brooke 1997; Bunt 2000a, 2000b; Careaga 1999; Careaga and Sweet 2001; Cobb 1998; Davis 1999; Dawson 2001a; Gold 1997; Groothuis 1997; Hadden and Cowan 2000b; Hammerman 2000; Kelly 1999a, 1999b; Kellner 1996; Lawrence",author,direct_statement,asserted,online religion,,,0.0,detached_accents,1353,,,,,,,,,,,,,,,,,,,,,,,,,
5,v1,random,2008-the-oxford-handbook-of-new-religious-movements-1,114,138-138,,,"Are particular groups more likely to find the virtual environment more congenial to their religious vision, and perhaps less threatening than the real world?",whether virtual environments are more congenial for religious groups,no,"The founders of Beliefnet.com believe that the business of religion online represents a $40 billion per year market. For online religion , however, the central question remains: not unlike Memorex, is it virtual or is it actual? How is online participation in religious ritual or liturgy similar to these practices in real life? In what ways does it differ? How do the different technological and metatechnological factors associated with religious observance in cyberspace enhance or constrain the experience? Does the Internet offer unique opportunities for religious evolution, or merely more advanced versions of strategies already deployed? Are particular groups more likely to find the virtual environment more congenial to their religious vision, and perhaps less threatening than the real world?
With regard to this last question, we would like to suggest that there are, indeed, religious groups for whom the Internet is a more accommodating environment-for religious innovation, for an enhanced sense of control over one's religious life, and for the ability to contribute to the ongoing development of the tradition(s) in which that life is located. While it is highly unlikely that online religious observance will take the place of mass at one's local parish church, for certain new religious movements-especially those which are doctrinally, traditionally, and liturgically fluid-e-space presents an opportunity unparalleled in religious history.
In this chapter, following a review of the current research into new or controversial religious movements and the Internet, we would like to explore three aspects of the intersection between these movements and the constantly evolving virtual world: (a) the Internet as a medium for the emergence and evolution of new religions; (b) the Internet as a stage for the virtual practice of online religion; and (c) the Internet as a platform for conflict over religious lineage and authority.
Current Research
The growing literature on the relationship between religion and the Internet ranges across traditions, and from perspectives that vary from the academic to the evangelistic, and the celebratory to the admonitory (cf., for example, Brasher 2001; Brooke 1997; Bunt 2000a, 2000b; Careaga 1999; Careaga and Sweet 2001; Cobb 1998; Davis 1999; Dawson 2001a; Gold 1997; Groothuis 1997; Hadden and Cowan 2000b; Hammerman 2000; Kelly 1999a, 1999b; Kellner 1996; Lawrence",author,direct_statement,asserted,virtual environment; religious groups,,,0.0,detached_accents,1358,,,,,,,,,,,,,,,,,,,,,,,,,
6,v1,random,2008-the-oxford-handbook-of-new-religious-movements-1,411,471-471,,,the Church of Scientology would seem to have worked hard at solving the problem of disconfirmation,the Church of Scientology would seem to have worked hard at solving the problem of disconfirmation,yes,"Cognitive Style
...................................................................................................................................................................
According to Stark and Bainbridge (1985), the Church of Scientology would seem to have worked hard at solving the problem of disconfirmation. However, research in social and cognitive psychology suggests that it is an almost fail-safe strategy to promise followers that their skills in a variety of areas will be significantly enhanced. Esoteric religions can thus even be connected with specific cognitive strategies.
There are significant flaws in our ability to know how well we are performing and to understand how likely it is that we are accurate in our judgments. Perhaps the best illustration of this cognitive weakness is the statistically illogical tendency of the average person to believe he or she is more competent than the average human being (Dunning, Meyerowitz, and Holzberg 1989). Most people think that they are better parents and spouses than most others. Automobile drivers think they drive more safely than most others, managers believe their business skills are above average, and teachers pride themselves in didactic skills that exceed those of their peers. Furthermore, there is evidence that those who are less competent on any given task have more difficulty recognizing their true level of ability than do more competent individuals (Kruger and Dunning 1999). In experimental settings, it can also be shown that even artificially induced self-serving attributes are nearly impervious to disconfirming evidence. People who in a first phase of an experiment were made to believe that they had certain above-average interpersonal skills were not swayed by the careful debriefing procedure carried out by the researchers in the second phase of the experiment (Nisbett and Ross 1980: 176-179).",author,direct_statement,asserted,Scientology,,,0.0,detached_accents,3634,,,,,,,,,,,,,,,,,,,,,,,,,
7,v1,random,2008-the-oxford-handbook-of-new-religious-movements-1,411,471-471,,,it is an almost fail-safe strategy to promise followers that their skills in a variety of areas will be significantly enhanced,it is an almost fail-safe strategy to promise followers that their skills in a variety of areas will be significantly enhanced,yes,"Cognitive Style
...................................................................................................................................................................
According to Stark and Bainbridge (1985), the Church of Scientology would seem to have worked hard at solving the problem of disconfirmation. However, research in social and cognitive psychology suggests that it is an almost fail-safe strategy to promise followers that their skills in a variety of areas will be significantly enhanced. Esoteric religions can thus even be connected with specific cognitive strategies.
There are significant flaws in our ability to know how well we are performing and to understand how likely it is that we are accurate in our judgments. Perhaps the best illustration of this cognitive weakness is the statistically illogical tendency of the average person to believe he or she is more competent than the average human being (Dunning, Meyerowitz, and Holzberg 1989). Most people think that they are better parents and spouses than most others. Automobile drivers think they drive more safely than most others, managers believe their business skills are above average, and teachers pride themselves in didactic skills that exceed those of their peers. Furthermore, there is evidence that those who are less competent on any given task have more difficulty recognizing their true level of ability than do more competent individuals (Kruger and Dunning 1999). In experimental settings, it can also be shown that even artificially induced self-serving attributes are nearly impervious to disconfirming evidence. People who in a first phase of an experiment were made to believe that they had certain above-average interpersonal skills were not swayed by the careful debriefing procedure carried out by the researchers in the second phase of the experiment (Nisbett and Ross 1980: 176-179).",author,direct_statement,asserted,Scientology,,,0.0,detached_accents,3635,,,,,,,,,,,,,,,,,,,,,,,,,
8,v2_qwen3-4b,random,2008-the-oxford-handbook-of-new-religious-movements-1,411,471-471,1,claim,the Church of Scientology would seem to have worked hard at solving the problem of disconfirmation,the Church of Scientology would seem to have worked hard at solving the problem of disconfirmation,yes,"Cognitive Style
...................................................................................................................................................................
According to Stark and Bainbridge (1985), the Church of Scientology would seem to have worked hard at solving the problem of disconfirmation. However, research in social and cognitive psychology suggests that it is an almost fail-safe strategy to promise followers that their skills in a variety of areas will be significantly enhanced. Esoteric religions can thus even be connected with specific cognitive strategies.
There are significant flaws in our ability to know how well we are performing and to understand how likely it is that we are accurate in our judgments. Perhaps the best illustration of this cognitive weakness is the statistically illogical tendency of the average person to believe he or she is more competent than the average human being (Dunning, Meyerowitz, and Holzberg 1989). Most people think that they are better parents and spouses than most others. Automobile drivers think they drive more safely than most others, managers believe their business skills are above average, and teachers pride themselves in didactic skills that exceed those of their peers. Furthermore, there is evidence that those who are less competent on any given task have more difficulty recognizing their true level of ability than do more competent individuals (Kruger and Dunning 1999). In experimental settings, it can also be shown that even artificially induced self-serving attributes are nearly impervious to disconfirming evidence. People who in a first phase of an experiment were made to believe that they had certain above-average interpersonal skills were not swayed by the careful debriefing procedure carried out by the researchers in the second phase of the experiment (Nisbett and Ross 1980: 176-179).",author,direct_statement,asserted,,"Describes Scientology's approach to disconfirmation, a cult-relevant strategy.",,0.0,detached_accents,,qwen3:8b,True,True,True,True,True,True,True,True,,,none,Directly references Scientology in the context of cognitive strategies.,,,,,,,,,,,,
9,v1,random,clarke-2004-encyclopedia-of-new-religious-movements,120,150-150,,,Chaos Magick could be described as the union of traditional occult ideas (see Esoteric Movements ) with applied post-modernism.,Chaos Magick could be described as the union of traditional occult ideas with applied post-modernism,no,"Further reading
Grayson, J.H. (1989) Korea: A Religious History,
Harvey, P. (1990) An Introduction to Buddhism. Teachings, History and Practices, University Press.
Oxford: Oxford University Press. Oxford: Oxford
PETER B.CLARKE
CHAOS MAGICK
Chaos Magick could be described as the union of traditional occult ideas (see Esoteric Movements ) with applied post-modernism. Its most commonly quoted dictum is 'Nothing is True. Everything is Permitted.' As with Aleister Crowley's oft-quoted 'Do as thou wilt shall be the whole of the law' (borrowed from François Rabelais) this is easily misunderstood to be a recipe for hedonism and self-indulgence. With Crowley the caveat 'Love is the Law, Love under Will' clarifies the meaning. Wiccans and other Pagans usually preface Crowley's words with 'An [If] it hurt none Chaos magicians make it clear that their own freedom of action must not be at the expense of anyone else's.
Chaos Magick is the creation of two magicians, Peter J.Carroll and Ray Sherwin, though Carroll is seen as its main theorist, with his books Liber Null & Psychonaut, Liber Chaos, and Psybermagick . Carroll and Sherwin were the founders in 1976 of the Illuminates of Thanateros (IOT), a magickal order for Chaos magicians, which has temples in the USA, UK, Australia, and several European countries.
Some Chaos magicians prefer the term Results Magic; they say that certain techniques produce magical results regardless of the belief system in which they are practised. They therefore encourage the use of anything and everything that is effective from all magical traditions. They are also happy to use popular culture, including science fiction and fantasy; some Chaos magicians, for example, work with the 'powers' in H.P. Lovecraft's fictional Cthulhu mythos. Their point is that all the great traditional magical systems were invented at some point; rather than slavishly following a ritual created by another magician little more than a century ago, as do many modern groups with a legacy in the Hermetic Order of the Golden Dawn, it makes more sense to create a ritual using symbolism that is relevant today, and which is personally significant to the magician. Carroll, who is a physicist, writes that 'It is techniques and intention that are important in successful magic.'
Chaos magicians say that extreme states of consciousness, which can be brought about by drumming, dancing, chanting, or other ritual activities, sometimes lead to parapsychological events. They make a conscious effort to harness these states to produce controlled results-hence the term Results Magic.
There is no creed in Chaos Magick, no set of beliefs which all must follow; such would be against the very ethos of Chaos Magick theory. It has been described as handson practical magic without religion. Many Chaos magicians have a grounding in Crowley; others come from a Wiccan background, or other areas of Paganism or the Occult. When practising Chaos Magick they will use those aspects of whatever system they have chosen to work in, that they have found to work, and discard those that don't.",author,definition,asserted,Chaos Magick,,,0.0,,10916,,,,,,,,,,,,,,,,,,,,,,,,,
10,v1,random,clarke-2004-encyclopedia-of-new-religious-movements,120,150-150,,,"Their point is that all the great traditional magical systems were invented at some point; rather than slavishly following a ritual created by another magician little more than a century ago, as do many modern groups with a legacy in the Hermetic Order of the Golden Dawn, it makes more sense to create a ritual using symbolism that is relevant today, and which is personally significant to the magician.",all the great traditional magical systems were invented at some point,no,"Further reading
Grayson, J.H. (1989) Korea: A Religious History,
Harvey, P. (1990) An Introduction to Buddhism. Teachings, History and Practices, University Press.
Oxford: Oxford University Press. Oxford: Oxford
PETER B.CLARKE
CHAOS MAGICK
Chaos Magick could be described as the union of traditional occult ideas (see Esoteric Movements ) with applied post-modernism. Its most commonly quoted dictum is 'Nothing is True. Everything is Permitted.' As with Aleister Crowley's oft-quoted 'Do as thou wilt shall be the whole of the law' (borrowed from François Rabelais) this is easily misunderstood to be a recipe for hedonism and self-indulgence. With Crowley the caveat 'Love is the Law, Love under Will' clarifies the meaning. Wiccans and other Pagans usually preface Crowley's words with 'An [If] it hurt none Chaos magicians make it clear that their own freedom of action must not be at the expense of anyone else's.
Chaos Magick is the creation of two magicians, Peter J.Carroll and Ray Sherwin, though Carroll is seen as its main theorist, with his books Liber Null & Psychonaut, Liber Chaos, and Psybermagick . Carroll and Sherwin were the founders in 1976 of the Illuminates of Thanateros (IOT), a magickal order for Chaos magicians, which has temples in the USA, UK, Australia, and several European countries.
Some Chaos magicians prefer the term Results Magic; they say that certain techniques produce magical results regardless of the belief system in which they are practised. They therefore encourage the use of anything and everything that is effective from all magical traditions. They are also happy to use popular culture, including science fiction and fantasy; some Chaos magicians, for example, work with the 'powers' in H.P. Lovecraft's fictional Cthulhu mythos. Their point is that all the great traditional magical systems were invented at some point; rather than slavishly following a ritual created by another magician little more than a century ago, as do many modern groups with a legacy in the Hermetic Order of the Golden Dawn, it makes more sense to create a ritual using symbolism that is relevant today, and which is personally significant to the magician. Carroll, who is a physicist, writes that 'It is techniques and intention that are important in successful magic.'
Chaos magicians say that extreme states of consciousness, which can be brought about by drumming, dancing, chanting, or other ritual activities, sometimes lead to parapsychological events. They make a conscious effort to harness these states to produce controlled results-hence the term Results Magic.
There is no creed in Chaos Magick, no set of beliefs which all must follow; such would be against the very ethos of Chaos Magick theory. It has been described as handson practical magic without religion. Many Chaos magicians have a grounding in Crowley; others come from a Wiccan background, or other areas of Paganism or the Occult. When practising Chaos Magick they will use those aspects of whatever system they have chosen to work in, that they have found to work, and discard those that don't.",author,direct_statement,asserted,Chaos magicians,,,0.0,,10924,,,,,,,,,,,,,,,,,,,,,,,,,
