id,order,criterion_fr,criterion_en,source,citation,date_added
crit-mental-destabilization,1,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,"Mental destabilization and psychological or physical subjugation leading to actions or omissions gravely detrimental to individuals, and more generally to the loss of critical thinking and autonomy",Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-rupture-origin-environment,2,"La rupture avec l'environnement d'origine (proches, famille)","Rupture with the person's environment of origin (close relations, family)",Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-radical-behavior-change,3,Le changement radical de comportement,Radical change in behavior,Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-rejection-of-outside-world,4,Le refus de l'autre et le dénigrement du monde extérieur : l'absence totale d'accès aux médias ou moyens de communication,Rejection of others and denigration of the outside world: total absence of access to media or means of communication,Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-harsh-living-conditions,5,Les conditions de vie particulièrement éprouvantes ou déstabilisantes,Particularly harsh or destabilizing living conditions,Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-deceptive-recruitment,6,Les méthodes de recrutement trompeuses,Deceptive recruitment methods,Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-indoctrination-of-children,7,L'embrigadement des enfants,The indoctrination of children,Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-authoritarian-opaque-group,8,"L'existence d'un groupe organisé sur un mode autoritaire, opaque et cloisonné, avec présence d'un dirigeant de type leader charismatique ou praticien référent exclusif","The existence of a group organized in an authoritarian, opaque, and compartmentalized manner, with a charismatic-leader-type figure or an exclusive referent practitioner at its head",Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-difficulty-leaving-group,9,De grandes difficultés voire une impossibilité pour un membre de quitter ledit groupe,"Great difficulty, or even the impossibility, for a member to leave the group",Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-physical-integrity-harm,10,"Les atteintes à l'intégrité physique des personnes en état de faiblesse et d'ignorance, et plus généralement la commission d'actes criminels ou délictueux sur des individus, majeurs ou mineurs","Harm to the physical integrity of people in a state of weakness or ignorance, and more generally the commission of criminal or other unlawful acts against individuals, whether adults or minors",Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-public-order-contestation,11,La contestation des institutions et les troubles à l'ordre public ; la menace d'atteinte à l'ordre public,Contesting institutions and disturbances to public order; the threat of a breach of public order,Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-legal-disputes,12,L'importance des démêlés judiciaires,The extent of the group's legal entanglements,Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-financial-demands-opacity,13,"Le caractère exorbitant des exigences financières ; la violation des règlements ou de la loi (travail illégal, formation professionnelle déviante…) et/ou l'opacité de la gestion financière","The exorbitant nature of financial demands; violation of regulations or the law (illegal labor, deviant vocational training, etc.) and/or opacity in financial management",Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-infiltration-public-authorities,14,Les tentatives d'infiltration des pouvoirs publics,Attempts to infiltrate public authorities,Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-dubious-care-exclusive,15,L'offre de soins et de médicaments douteux et exclusive du recours à des pratiques conventionnelles,"The offer of dubious care and medication, to the exclusion of recourse to conventional practices",Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-alarming-dietary-change,16,Le changement inquiétant des habitudes alimentaires,Alarming changes in dietary habits,Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
crit-violation-republic-principles,17,La violation des principes fondateurs de la République,The violation of the founding principles of the Republic,Comment identifier une dérive sectaire ? | Miviludes,CommentIdentifierDerive,2026-09-03
