document_id,participant_id,transcript_initial_exemplar_text,source_expression_key,source_expression_label,source_chunk_index,exemplar_type,initial_response_form,follow_up_examples,review_status,notes
b1-aug05-1650,b1-aug05-1650,Tomato cult! Okay — it's a local community of people growing local tomatoes.,b1-aug05-1650:0:2,it's a local community of people growing local tomatoes.,0,metaphorical_or_other,named_exemplar,,reviewed,"True first two words ('Tomato cult!') were filtered as a short fragment; this row's pooled point is the immediate continuation of the same single turn/joke, not a different answer. Participant explicitly frames this as sarcastic, not a real cult claim."
b1-aug06-1955,b1-aug06-1955,"the first thing I thought was this AI thing you told me about, this AI cult. ... You explained the theory that there exists some cult that says artificial intelligence could be like a god.",b1-aug06-1955:0:0,AI cult,0,digital_or_technology,named_exemplar,,reviewed,"True first exemplar ('AI cult') was filtered from the ordinary pooled space (short-fragment filter) but is resolvable directly against the raw archive via build_interview_prototype_layer.py, using its existing raw embedding (no re-extraction)."
b1-aug08-1420,b1-aug08-1420,"I'd picture something American — brainwashing, suppressive, abusive. Um, yeah, usually white dudes.",b1-aug08-1420:1:0,"brainwashing, suppressive, abusive",1,unclear,descriptive_characterisation,,reviewed,"True first answer (a descriptive-characterisation bundle) was filtered from the ordinary pooled space (short-fragment filter) but is resolvable directly against the raw archive via build_interview_prototype_layer.py, using its existing raw embedding (no re-extraction)."
b1-aug08-2128,b1-aug08-2128,"Something suspicious, something dangerous, something not normal. And also something a little bit frightening.",b1-aug08-2128:0:1,"Something suspicious, something dangerous, something not normal. And also something a little bit frightening.",0,unclear,descriptive_characterisation,yoga cults (unnamed; participant could not recall a specific name or documentary),reviewed,
b1-aug08-2137,b1-aug08-2137,"My first thing that comes is probably the Ku Klux Klan, because — yeah, stereotypes, that way.",b1-aug08-2137:0:1,"My first thing that comes is probably the Ku Klux Klan, because — yeah, stereotypes, that way.",0,named_group_or_movement,named_exemplar,"La Luz del Mundo (Guadalajara, Mexico)",reviewed,
b1-aug08-2145,b1-aug08-2145,"I think the first thing that comes to my mind is more, probably, the bad side of it ... where do you draw the line — different societies have very different views of what would be considered a cult in certain societies versus others.",b1-aug08-2145:0:1,where do you draw the line — different societies have very different views of what would be considered a cult in certain societies versus others.,0,unclear,descriptive_characterisation,Scientology; the Manson family (referenced via a Tarantino film); Children of God,reviewed,
b1-aug09-2048,b1-aug09-2048,"All those smaller church denominations with a charismatic leader and their own little special lore — something that usually exploits vulnerable people, gullible people, you know — extracts resources and sex from them, depending on the type of cult.",b1-aug09-2048:0:0,smaller church denominations with a charismatic leader and their own little special lore,0,classic_nrm_or_religious_group,descriptive_characterisation,Church of Scientology; Mormons; Osho; Westboro Baptist Church; Jehovah's Witnesses; Russian Orthodox Church (participant's own former denomination),reviewed,
b1-aug09-2124,b1-aug09-2124,"Bike polo — the specific club I currently belong to ... it's not really a belief system, except that we have the 'shuffle gods' ... a very close-knit community with little chapters around the world.",b1-aug09-2124:0:0,it's not really a belief system,0,named_group_or_movement,named_exemplar,,reviewed,"Participant's literal first words ('Bike polo') were never extracted as their own standalone expression by the pipeline (chunk 0's extracted items start mid-answer); the pooled label is a later clause of this same continuous, uninterrupted answer, not a different response."
b1-aug11-2011,b1-aug11-2011,"To my mind comes the image of, kind of, a group of people that decide to choose to join, let's say, a community based on dogmatic beliefs. And, to me, the concept of cult also comes with the idea of a lack of freedom.",b1-aug11-2011:0:1,To my mind comes the image of a group of people that decide to choose to join a community based on dogmatic beliefs,0,unclear,descriptive_characterisation,Jehovah's Witnesses; a Mormon-affiliated group (Church of Jesus Christ of Latter-day Saints),reviewed,
b1-aug12-1231,b1-aug12-1231,"Honestly, some kind of new wave band — Blue Öyster Cult, okay, this kind of stuff. And then secondly, religious cults.",b1-aug12-1231:0:1,"some kind of new wave band — Blue Öyster Cult, okay, this kind of stuff. And then secondly, religious cults.",0,mixed,mixed,Hare Krishnas; Jehovah’s Witnesses (Zeugen Jehovas); Bhagwan movement,reviewed,"Opening answer combines a named pop-culture reference (the band Blue Öyster Cult, a metaphorical/adjectival use of 'cult') with a vague category ('religious cults') in the same breath -- coded mixed rather than forcing one or the other."
b1-aug13-1342,b1-aug13-1342,"Sometimes it comes to me that, you know, kind of privileged people — that they have the privilege to, geographically, choose what to believe in.",b1-aug13-1342:0:0,"kind of privileged people — that they have the privilege to, geographically, choose what to believe in",0,unclear,descriptive_characterisation,Raëlism; Freemasons; the Buddhafield cult; the Druze,reviewed,
b2-aug13-1832,b2-aug13-1832,one thing that comes to my mind ... they will call it a 'cult' bicycle part ... cult films are usually films that were not very economically successful ... you would use 'cult' as an adjective.,b2-aug13-1832:1:0,cult films are usually films that were not very economically successful,1,metaphorical_or_other,descriptive_characterisation,the Moonies (per participant’s own web lookup; likely the Unification Church),reviewed,"Participant's literal first named example ('cult bicycle part') was never extracted as a standalone expression by the pipeline; the pooled label is the next thing the participant said in the same vein (using 'cult' as a positive, niche/devoted-following adjective for films), not a different response. This participant treats 'cult' primarily as an adjective (cult classic/cult following) rather than naming an actual group, until the interviewer's own aside about the Moonies."
b2-aug13-1840,b2-aug13-1840,"cult — if we translate it properly in Italian, should be “la setta”. So, uh, usually it's related to a collective, a group of people following some sort of belief, and related to religion ... non-conventional religion ... something like dark religious — like praying to the devil, or something like that.",b2-aug13-1840:0:0,"cult — if we translate it properly in Italian, should be ""la setta""",0,unclear,descriptive_characterisation,Satanists; Scientology (uncertain),reviewed,
b3-aug16-1514,b3-aug16-1514,Charles Manson — and CIA.,b3-aug16-1514:0:1,Charles Manson — and CIA.,0,mixed,named_exemplar,MK Ultra; Brian Jones,reviewed,Opening answer names two different kinds of thing together -- a cult-leader figure (Charles Manson) and a government institution/program (CIA/MK Ultra) -- coded mixed rather than forcing one category.
b3-aug16-1517,b3-aug16-1517,"When you say the word cult, it comes to my mind — religious cults in Turkey.",b3-aug16-1517:0:0,"When you say the word cult, it comes to my mind — religious cults in Turkey.",0,classic_nrm_or_religious_group,descriptive_characterisation,Fethullah Gülen’s movement; Menzil,reviewed,
b3-aug18-1645,b3-aug18-1645,"Gourou. Groupe. Un groupe qui suit une doctrine. Qui suit des règles. Avec souvent un gourou. Ouais, c'est des religions qui n'ont pas percé, quoi.",b3-aug18-1645:0:1,"Gourou. Groupe. Un groupe qui suit une doctrine. Qui suit des règles. Avec souvent un gourou. Ouais, c'est des religions qui n'ont pas percé, quoi.",0,unclear,descriptive_characterisation,Raël; Témoins de Jéhovah,reviewed,"Opening response is a descriptive characterisation, not one named exemplar. Participant associates secte with guru, group, doctrine, rules, and marginal/unrecognised religion. Named examples given only after the follow-up prompt: Raël and Jehovah's Witnesses (participant questions whether the latter is a sect or a religion)."
b3-aug21-1932,b3-aug21-1932,Illuminati. ... un groupe. ... Une communauté. ... qui se rassemble autour d'un gourou.,b3-aug21-1932:0:1,Illuminati,0,named_group_or_movement,named_exemplar,,reviewed,"True first exemplar ('Illuminati') was filtered from the ordinary pooled space (short-fragment filter) but is resolvable directly against the raw archive via build_interview_prototype_layer.py, using its existing raw embedding (no re-extraction)."
b3-aug22-2057,b3-aug22-2057,"Manipulation, groupe, idéologie.",b3-aug22-2057:0:1,"Manipulation, groupe, idéologie.",0,unclear,descriptive_characterisation,la Scientologie,reviewed,"True first answer was filtered from the ordinary pooled space (short-fragment filter, as was the one named follow-up example 'la Scientologie') but is resolvable directly against the raw archive via build_interview_prototype_layer.py, using its existing raw embedding (no re-extraction)."
b3-aug22-2101,b3-aug22-2101,"des groupes fermés qui endoctrinent des gens en échange d'argent, la plupart du temps, et qui peuvent conduire à des dérives dangereuses.",b3-aug22-2101:0:0,"groupes fermés qui endoctrinent des gens en échange d'argent, la plupart du temps, et qui peuvent conduire à des dérives dangereuses",0,unclear,descriptive_characterisation,"la Scientologie; le truc de Raël (Raëlisme); un groupe non identifié avec certitude dans le sud de la France (possiblement les Douze Tribus / Tabitha's Place, selon note du transcripteur)",reviewed,
b3-aug23-1213,b3-aug23-1213,Des groupements... semi-religieux ... on sait jamais bien à partir de quel moment c'est une secte ou c'est pas une.,,,,unclear,unclear,,unavailable,"Confirmed against the raw archive: this participant never produces a direct_statement claim (attribution=participant, non-question) at all -- their entire answer is phrased as a hedge and a self-directed question about definitional boundaries ('on ne sait jamais bien à partir de quel moment...'), which the extraction pipeline correctly tags as question_or_reflection rather than a claim, so no candidate exists under this heuristic by construction, not due to filtering."
ig-02,ig-02,"Turkish Religious cults. ... these religious groups would run tutoring centers, preparing students for the university exams but also inviting them to Quran readings and kinda radicalizing them, they would organize special camps, give scholarship etc.",ig-02:0:2,"organize special camps, give scholarship",0,classic_nrm_or_religious_group,descriptive_characterisation,Nakşibendi; Menzil; Süleymancılar; Said Nursi (Nurcu movement),reviewed,"Participant's literal first words ('Turkish Religious cults.') were filtered as a short fragment; the pooled label is part of the immediate elaboration in the same answer, not a different response."
ig-03,ig-03,Weird people coming together to do weird things. OR import but underground art,ig-03:0:0,Weird people coming together to do weird things,0,unclear,descriptive_characterisation,"Charles Manson and his group; Satanist cults; Shi'a Muslims (self-flagellation); Catholicism in Ethiopia (self-flagellation/self-crucifixion); Ziad Rahbani's theatre/music work (Lebanon, adjectival 'cult' use)",reviewed,"Instagram-DM format: participant sent several short messages in quick succession with no further interviewer prompt between the first few -- treated the first message as the opening answer and everything after as follow-up, though the boundary is less clear-cut than in the spoken interviews."
ig-04,ig-04,"People dressed in white. There's often someone dressed in white, pope, orthodox ppl, imam, kkk, umbanda, evangelical, jesus underwear is white too...",ig-04:0:1,"There's often someone dressed in white, pope, orthodox ppl, imam, kkk, umbanda, evangelical, jesus underwear is white too",0,unclear,descriptive_characterisation,,reviewed,"Participant explicitly confirms (mid-interview) this is a purely visual/perceptual association, not a named group: 'What comes to my mind ... is people dressed in white ... my most immediate angle of knowledge is visual.'"
