document_id,query_text,matched_label,matched_index,match_ratio,low_confidence,nearest_cluster_id,is_gap_cluster,cluster_euclidean_distance,cluster_cosine_similarity
b1-aug05-1650,it's a local community of people growing local tomatoes.,[laughs] Okay — it's a local community of people growing local tomatoes.,5851,0.892,False,49,True,0.7538,0.6597
b1-aug06-1955,AI cult,"Actually — the first thing I thought was this AI thing you told me about, this AI cult.",5864,0.8,False,58,False,0.7824,0.6321
b1-aug08-1420,"brainwashing, suppressive, abusive","So, I'd picture something American, okay — brainwashing, suppressive, abusive.",5894,0.8,False,40,False,0.6537,0.757
b1-aug08-2128,"Something suspicious, something dangerous, something not normal. And also something a little bit frightening.","Something suspicious, something dangerous, something not normal.",5915,0.8,False,50,True,0.6747,0.7407
b1-aug08-2137,"My first thing that comes is probably the Ku Klux Klan, because — yeah, stereotypes, that way.","My first thing that comes is probably the Ku Klux Klan, because — yeah, stereotypes, that way.",5941,1.0,False,45,True,0.7718,0.6386
b1-aug08-2145,where do you draw the line — different societies have very different views of what would be considered a cult in certain societies versus others.,"And, you know, where do you draw the line — different societies have very different views of what would be considered a cult in certain societies versus others.",5979,0.951,False,58,False,0.6085,0.7955
b1-aug09-2048,smaller church denominations with a charismatic leader and their own little special lore,"All those smaller church denominations with a charismatic leader and their own little special lore — something that usually exploits vulnerable people, gullible people, you know — extracts resources and sex from them, depending on the type of cult.",6008,1.0,False,58,False,0.6739,0.7388
b1-aug09-2124,it's not really a belief system,"I guess it's not really a belief system, except that we have the ""shuffle gods"" [referring to the random in which teams are selected in bike polo].",6080,0.8,False,56,True,0.7745,0.6374
b1-aug11-2011,To my mind comes the image of a group of people that decide to choose to join a community based on dogmatic beliefs,"To my mind comes the image of, kind of, a group of people that decide to choose to join, let's say, a community based on dogmatic beliefs.",6092,0.909,False,58,False,0.7013,0.7133
b1-aug12-1231,"some kind of new wave band — Blue Öyster Cult, okay, this kind of stuff. And then secondly, religious cults.","Honestly, some kind of new wave band — Blue Öyster Cult, okay, this kind of stuff.",6123,0.82,False,57,False,0.7801,0.6324
b1-aug13-1342,"kind of privileged people — that they have the privilege to, geographically, choose what to believe in","Sometimes it comes to me that, you know, kind of privileged people — that they have the privilege to, geographically, choose what to believe in.",6161,1.0,False,53,True,0.736,0.6777
b2-aug13-1832,cult films are usually films that were not very economically successful,"So cult films are usually films that were not very economically successful, but they have a small following — very devout fans — towards films, or musicians, or albums, or artists, or whatever.",6229,0.8,False,58,False,0.6968,0.7176
b2-aug13-1840,"cult — if we translate it properly in Italian, should be ""la setta""","So, ""cult"" — if we translate it properly in Italian, should be ""la setta"".",6257,0.95,False,58,False,0.7188,0.6966
b3-aug16-1514,Charles Manson — and CIA.,Charles Manson — and CIA.,6276,1.0,False,21,True,0.8392,0.5573
b3-aug16-1517,"When you say the word cult, it comes to my mind — religious cults in Turkey.","When you say the word cult, it comes to my mind — religious cults in Turkey.",6290,1.0,False,58,False,0.6572,0.7538
b3-aug18-1645,"Gourou. Groupe. Un groupe qui suit une doctrine. Qui suit des règles. Avec souvent un gourou. Ouais, c'est des religions qui n'ont pas percé, quoi.",Gourou.,6300,0.8,False,49,True,0.7702,0.6423
b3-aug21-1932,Illuminati,Illuminati.,6328,0.952,False,49,True,0.6547,0.7569
b3-aug22-2057,"Manipulation, groupe, idéologie.","Manipulation, groupe, idéologie.",6353,1.0,False,43,False,0.6576,0.7561
b3-aug22-2101,"groupes fermés qui endoctrinent des gens en échange d'argent, la plupart du temps, et qui peuvent conduire à des dérives dangereuses","des groupes fermés qui endoctrinent des gens en échange d'argent, la plupart du temps, et qui peuvent conduire à des dérives dangereuses.",6368,1.0,False,50,True,0.7429,0.6694
ig-02,"organize special camps, give scholarship","I have memories as a kid/teen where these religious groups would run tutoring centers, preparing students for the university exams but also inviting them to Quran readings and kinda radicalizing them, they would organize special camps, give scholarship etc.",6459,0.8,False,58,False,0.7496,0.6661
ig-03,Weird people coming together to do weird things,Weird people coming together to do weird things.,6467,0.989,False,49,True,0.6448,0.7659
ig-04,"There's often someone dressed in white, pope, orthodox ppl, imam, kkk, umbanda, evangelical, jesus underwear is white too","There's often someone dressed in white, pope, orthodox ppl, imam, kkk, umbanda, evangelical, jesus underwear is white too.",6483,0.996,False,55,True,0.7628,0.6478
ig-05,enclosed group with one strange thing in the full center of their attention,Because they are an enclosed group with one strange thing in the full center of their attention (for each of the new age groups),6497,0.962,False,50,True,0.7194,0.6948
ig-06,"attempting to deviate from academic norms through “breaking boundaries”, central figure with authoritative behavior and high controlled dynamic with attempts at isolating members from larger communities","attempting to deviate from academic norms through “breaking boundaries”, central figure with authoritative behavior and high controlled dynamic with attempts at isolating members from larger communities",6502,1.0,False,53,True,0.7111,0.7031
ig-07,"groups of people with some commonly considered 'alternative' beliefs and a person, figure or certain idea as a central element within their communal belief system","But I suppose most commonly I'd consider groups of people with some commonly considered 'alternative' beliefs and a person, figure or certain idea as a central element within their communal belief system.",6515,0.885,False,58,False,0.6949,0.7194
