document_id,source_relative_path,source_filename,page_count,extraction_method,ocr_used,processing_status,error_message,output_directory
hammer-and-rothstein-2012-the-cambridge-companion-to-new-religious-movements,1806/Hammer and Rothstein - 2012 - The Cambridge companion to new religious movements.pdf,Hammer and Rothstein - 2012 - The Cambridge companion to new religious movements.pdf,402,native,False,processed,,documents/hammer-and-rothstein-2012-the-cambridge-companion-to-new-religious-movements
lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i,1807/Lewis and Tøllefsen - 2016 - The Oxford Handbook of New Religious Movements Volume II.pdf,Lewis and Tøllefsen - 2016 - The Oxford Handbook of New Religious Movements Volume II.pdf,545,native,False,processed,,documents/lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i
2008-the-oxford-handbook-of-new-religious-movements-1,1810/2008 - The Oxford handbook of new religious movements. 1.pdf,2008 - The Oxford handbook of new religious movements. 1.pdf,561,native,False,processed,,documents/2008-the-oxford-handbook-of-new-religious-movements-1
dawson-2009-cults-and-new-religious-movements-a-reader,1812/Dawson - 2009 - Cults and new religious movements a reader.pdf,Dawson - 2009 - Cults and new religious movements a reader.pdf,305,native,False,processed,,documents/dawson-2009-cults-and-new-religious-movements-a-reader
shingange-2021-african-pentecostal-mission-and-new-religious-movements-a-critica,2068/Shingange - 2021 - African pentecostal mission and new religious movements a critical scrutiny of threats and opportun.pdf,Shingange - 2021 - African pentecostal mission and new religious movements a critical scrutiny of threats and opportun.pdf,21,native,False,processed,,documents/shingange-2021-african-pentecostal-mission-and-new-religious-movements-a-critica
introvigne-2014-advocacy-brainwashing-theories-and-new-religious-movements,"2069/Introvigne - 2014 - Advocacy, brainwashing theories, and new religious movements.pdf","Introvigne - 2014 - Advocacy, brainwashing theories, and new religious movements.pdf",18,native,False,processed,,documents/introvigne-2014-advocacy-brainwashing-theories-and-new-religious-movements
kaplan-and-l-w-2002-2-the-cult-the-cultic-milieu-and-secularization,"2070/Kaplan and Lööw - 2002 - 2 the cult, the cultic milieu and secularization.pdf","Kaplan and Lööw - 2002 - 2 the cult, the cultic milieu and secularization.pdf",364,native,False,processed,,documents/kaplan-and-l-w-2002-2-the-cult-the-cultic-milieu-and-secularization
rahman-et-al-2016-anders-breivik-extreme-beliefs-mistaken-for-psychosis,2071/Rahman et al. - 2016 - Anders breivik Extreme beliefs mistaken for psychosis..pdf,Rahman et al. - 2016 - Anders breivik Extreme beliefs mistaken for psychosis..pdf,8,native,False,processed,,documents/rahman-et-al-2016-anders-breivik-extreme-beliefs-mistaken-for-psychosis
munt-and-smith-2010-angels-and-the-dragon-king-s-daughter-gender-sexuality-in-we,"2074/Munt and Smith - 2010 - Angels and the dragon king's daughter Gender, sexuality in western buddhist new religious movements.pdf","Munt and Smith - 2010 - Angels and the dragon king's daughter Gender, sexuality in western buddhist new religious movements.pdf",30,native,False,processed,,documents/munt-and-smith-2010-angels-and-the-dragon-king-s-daughter-gender-sexuality-in-we
card-2019-archaeology-and-new-religious-movements,2075/Card - 2019 - Archaeology and new religious movements.pdf,Card - 2019 - Archaeology and new religious movements.pdf,5,native,False,processed,,documents/card-2019-archaeology-and-new-religious-movements
lalich-2004-bounded-choicetrue-believers-and-charismatic-cults,2076/Lalich - 2004 - Bounded ChoiceTrue believers and charismatic cults.pdf,Lalich - 2004 - Bounded ChoiceTrue believers and charismatic cults.pdf,355,native,False,processed,,documents/lalich-2004-bounded-choicetrue-believers-and-charismatic-cults
richardson-and-introvigne-2001-brainwashing-theories-in-european-parliamentary-a,2077/Richardson and Introvigne - 2001 - “Brainwashing” theories in european parliamentary and administrative reports on “cults” and “sects”.pdf,Richardson and Introvigne - 2001 - “Brainwashing” theories in european parliamentary and administrative reports on “cults” and “sects”.pdf,27,native,False,processed,,documents/richardson-and-introvigne-2001-brainwashing-theories-in-european-parliamentary-a
anthony-and-robbins-2009-conversion-and-brainwashing-in-new-religious-movements,2078/Anthony and Robbins - 2009 - Conversion and “brainwashing” in new religious movements.pdf,Anthony and Robbins - 2009 - Conversion and “brainwashing” in new religious movements.pdf,58,native,False,processed,,documents/anthony-and-robbins-2009-conversion-and-brainwashing-in-new-religious-movements
2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other,2079/2023 - Decoding delusions a clinician's guide to working with delusions and other extreme beliefs.pdf,2023 - Decoding delusions a clinician's guide to working with delusions and other extreme beliefs.pdf,270,native,False,processed,,documents/2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other
richardson-2018-definitions-of-cult-from-sociological-technical-to-popular-negat,2080/Richardson - 2018 - Definitions of cult From sociological-technical to popular-negative.pdf,Richardson - 2018 - Definitions of cult From sociological-technical to popular-negative.pdf,10,native,False,processed,,documents/richardson-2018-definitions-of-cult-from-sociological-technical-to-popular-negat
2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other-2081,2081/2023 - Decoding delusions a clinician's guide to working with delusions and other extreme beliefs.pdf,2023 - Decoding delusions a clinician's guide to working with delusions and other extreme beliefs.pdf,450,native,False,processed,,documents/2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other-2081
dodd-et-al-2010-do-extreme-beliefs-about-internal-states-predict-mood-swings-in,2082/Dodd et al. - 2010 - Do extreme beliefs about internal states predict mood swings in an analogue sample.pdf,Dodd et al. - 2010 - Do extreme beliefs about internal states predict mood swings in an analogue sample.pdf,8,native,False,processed,,documents/dodd-et-al-2010-do-extreme-beliefs-about-internal-states-predict-mood-swings-in
arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate,2083/Arweck et al. - 2013 - Educating the next generation in universal values Hindu-related new religious movements and values.pdf,Arweck et al. - 2013 - Educating the next generation in universal values Hindu-related new religious movements and values.pdf,10,native,False,processed,,documents/arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate
werbner-and-basu-2002-embodying-charisma-modernity-locality-and-the-performance,"2084/Werbner and Basu - 2002 - Embodying charisma Modernity, locality and the performance of emotion in sufi cults.pdf","Werbner and Basu - 2002 - Embodying charisma Modernity, locality and the performance of emotion in sufi cults.pdf",254,native,False,processed,,documents/werbner-and-basu-2002-embodying-charisma-modernity-locality-and-the-performance
melton-2014-encyclopedic-handbook-of-cults-in-america,2087/Melton - 2014 - Encyclopedic handbook of cults in america.pdf,Melton - 2014 - Encyclopedic handbook of cults in america.pdf,432,native,False,processed,,documents/melton-2014-encyclopedic-handbook-of-cults-in-america
clarke-2004-encyclopedia-of-new-religious-movements,2088/Clarke - 2004 - Encyclopedia of new religious movements.pdf,Clarke - 2004 - Encyclopedia of new religious movements.pdf,839,native,False,processed,,documents/clarke-2004-encyclopedia-of-new-religious-movements
buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on,"2089/Buxant and Saroglou - 2007 - Feeling good, but lacking autonomy Closed-mindedness on social and moral issues in new religious mo.pdf","Buxant and Saroglou - 2007 - Feeling good, but lacking autonomy Closed-mindedness on social and moral issues in new religious mo.pdf",15,native,False,processed,,documents/buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on
barker-2020-even-new-religious-movements-have-legacies,2090/Barker - 2020 - Even new religious movements have legacies.pdf,Barker - 2020 - Even new religious movements have legacies.pdf,16,native,False,processed,,documents/barker-2020-even-new-religious-movements-have-legacies
orlin-2002-foreign-cults-in-republican-rome-rethinking-the-pomerial-rule,2092/Orlin - 2002 - Foreign cults in republican rome Rethinking the pomerial rule.pdf,Orlin - 2002 - Foreign cults in republican rome Rethinking the pomerial rule.pdf,19,native,False,processed,,documents/orlin-2002-foreign-cults-in-republican-rome-rethinking-the-pomerial-rule
t-llefsen-and-giudice-2017-female-leaders-in-new-religious-movements,2093/Tøllefsen and Giudice - 2017 - Female leaders in new religious movements.pdf,Tøllefsen and Giudice - 2017 - Female leaders in new religious movements.pdf,18,native,False,processed,,documents/t-llefsen-and-giudice-2017-female-leaders-in-new-religious-movements
namini-et-al-2009-how-is-well-being-related-to-membership-in-new-religious-movem,2094/Namini et al. - 2009 - How is well‐being related to membership in new religious movements An application of person–environ.pdf,Namini et al. - 2009 - How is well‐being related to membership in new religious movements An application of person–environ.pdf,21,native,False,processed,,documents/namini-et-al-2009-how-is-well-being-related-to-membership-in-new-religious-movem
2016-legal-cases-new-religious-movements-and-minority-faiths,"2096/2016 - Legal cases, new religious movements, and minority faiths.pdf","2016 - Legal cases, new religious movements, and minority faiths.pdf",6,native,False,processed,,documents/2016-legal-cases-new-religious-movements-and-minority-faiths
ajayi-et-al-2010-menace-of-cultism-in-nigerian-tertiary-institutions-the-way-out,2097/Ajayi et al. - 2010 - Menace of cultism in nigerian tertiary institutions The way out.pdf,Ajayi et al. - 2010 - Menace of cultism in nigerian tertiary institutions The way out.pdf,6,native,False,processed,,documents/ajayi-et-al-2010-menace-of-cultism-in-nigerian-tertiary-institutions-the-way-out
davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america,2099/Davis and Hankins - 2002 - New religious movements and religious liberty in America.pdf,Davis and Hankins - 2002 - New religious movements and religious liberty in America.pdf,247,native,False,processed,,documents/davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america
chung-et-al-2006-mounting-challenges-to-governance-in-china-surveying-collective,"2100/Chung et al. - 2006 - Mounting challenges to governance in china Surveying collective protestors, religious sects and cri.pdf","Chung et al. - 2006 - Mounting challenges to governance in china Surveying collective protestors, religious sects and cri.pdf",32,native,False,processed,,documents/chung-et-al-2006-mounting-challenges-to-governance-in-china-surveying-collective
panchenko-2004-new-religious-movements-and-the-study-of-folklore-the-russian-cas,2101/Panchenko - 2004 - New religious movements and the study of folklore The russian case.pdf,Panchenko - 2004 - New religious movements and the study of folklore The russian case.pdf,18,native,False,processed,,documents/panchenko-2004-new-religious-movements-and-the-study-of-folklore-the-russian-cas
hayes-2006-new-religious-movements-in-the-catholic-church,2102/Hayes - 2006 - New religious movements in the catholic church.pdf,Hayes - 2006 - New religious movements in the catholic church.pdf,196,native,False,processed,,documents/hayes-2006-new-religious-movements-in-the-catholic-church
lucas-and-robbins-2004-new-religious-movements-in-the-twenty-first-century,2103/Lucas and Robbins - 2004 - New religious movements in the twenty-first century.pdf,Lucas and Robbins - 2004 - New religious movements in the twenty-first century.pdf,320,native,False,processed,,documents/lucas-and-robbins-2004-new-religious-movements-in-the-twenty-first-century
ferrari-2006-new-religious-movements-in-western-europe,2104/Ferrari - 2006 - New religious movements in western europe.pdf,Ferrari - 2006 - New religious movements in western europe.pdf,22,native,False,processed,,documents/ferrari-2006-new-religious-movements-in-western-europe
hexham-et-al-2001-new-religious-movements-challenge-and-response,2105/Hexham et al. - 2001 - New religious movements Challenge and response.pdf,Hexham et al. - 2001 - New religious movements Challenge and response.pdf,303,native,False,processed,,documents/hexham-et-al-2001-new-religious-movements-challenge-and-response
zwissler-2011-pagan-pilgrimage-new-religious-movements-research-on-sacred-travel,2106/Zwissler - 2011 - Pagan pilgrimage New religious movements research on sacred travel within pagan and new age communi.pdf,Zwissler - 2011 - Pagan pilgrimage New religious movements research on sacred travel within pagan and new age communi.pdf,17,native,False,processed,,documents/zwissler-2011-pagan-pilgrimage-new-religious-movements-research-on-sacred-travel
saliba-2009-psychology-and-the-new-religious-movements,2107/Saliba - 2009 - Psychology and the new religious movements.pdf,Saliba - 2009 - Psychology and the new religious movements.pdf,16,native,False,processed,,documents/saliba-2009-psychology-and-the-new-religious-movements
larkin-and-meyer-2006-pentecostalism-islam-and-culture-new-religious-movements-i,"2108/Larkin and Meyer - 2006 - Pentecostalism, islam and culture New religious movements in west africa.pdf","Larkin and Meyer - 2006 - Pentecostalism, islam and culture New religious movements in west africa.pdf",34,native,False,processed,,documents/larkin-and-meyer-2006-pentecostalism-islam-and-culture-new-religious-movements-i
dawson-2006-psychopathologies-and-the-attribution-of-charisma-a-critical-introdu,2109/Dawson - 2006 - Psychopathologies and the attribution of charisma a critical introduction to the psychology of char.pdf,Dawson - 2006 - Psychopathologies and the attribution of charisma a critical introduction to the psychology of char.pdf,27,native,False,processed,,documents/dawson-2006-psychopathologies-and-the-attribution-of-charisma-a-critical-introdu
gleig-2012-researching-new-religious-movements-from-the-inside-out-and-the-outsi,2110/Gleig - 2012 - Researching new religious movements from the inside out and the outside in.pdf,Gleig - 2012 - Researching new religious movements from the inside out and the outside in.pdf,17,native,False,processed,,documents/gleig-2012-researching-new-religious-movements-from-the-inside-out-and-the-outsi
mustapha-et-al-2014-sects-and-social-disorder,2111/Mustapha et al. - 2014 - Sects and social disorder.pdf,Mustapha et al. - 2014 - Sects and social disorder.pdf,2,native,False,processed,,documents/mustapha-et-al-2014-sects-and-social-disorder
namini-and-murken-2009-self-chosen-involvement-in-new-religious-movements-nrms-w,2112/Namini and Murken - 2009 - Self-chosen involvement in new religious movements (NRMs) well-being and mental health from a longi.pdf,Namini and Murken - 2009 - Self-chosen involvement in new religious movements (NRMs) well-being and mental health from a longi.pdf,26,native,False,processed,,documents/namini-and-murken-2009-self-chosen-involvement-in-new-religious-movements-nrms-w
bhugra-2002-self-concept-psychosis-and-attraction-of-new-religious-movements,2113/Bhugra - 2002 - Self-concept Psychosis and attraction of new religious movements.pdf,Bhugra - 2002 - Self-concept Psychosis and attraction of new religious movements.pdf,16,native,False,processed,,documents/bhugra-2002-self-concept-psychosis-and-attraction-of-new-religious-movements
bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen,2114/Bromley - 2007 - Teaching new religious movementslearning from new religious movements.pdf,Bromley - 2007 - Teaching new religious movementslearning from new religious movements.pdf,373,native,False,processed,,documents/bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen
denaux-2002-the-attitude-of-belgian-authorities-toward-new-religious-movements,2115/Denaux - 2002 - The attitude of belgian authorities toward new religious movements.pdf,Denaux - 2002 - The attitude of belgian authorities toward new religious movements.pdf,33,native,False,processed,,documents/denaux-2002-the-attitude-of-belgian-authorities-toward-new-religious-movements
tomkins-2010-the-clapham-sect-how-wilberforce-s-circle-transformed-britain,2116/Tomkins - 2010 - The clapham sect How wilberforce's circle transformed britain.pdf,Tomkins - 2010 - The clapham sect How wilberforce's circle transformed britain.pdf,240,native,False,processed,,documents/tomkins-2010-the-clapham-sect-how-wilberforce-s-circle-transformed-britain
noll-2002-the-jung-cult-origins-of-a-charismatic-movement,2117/Noll - 2002 - The jung cult origins of a charismatic movement.pdf,Noll - 2002 - The jung cult origins of a charismatic movement.pdf,4,native,False,processed,,documents/noll-2002-the-jung-cult-origins-of-a-charismatic-movement
panchenko-2004-new-religious-movements-and-the-study-of-folklore-the-russian-cas-2118,2118/Panchenko - 2004 - New religious movements and the study of folklore The russian case.pdf,Panchenko - 2004 - New religious movements and the study of folklore The russian case.pdf,18,native,False,processed,,documents/panchenko-2004-new-religious-movements-and-the-study-of-folklore-the-russian-cas-2118
palmer-2011-the-new-heretics-of-franceminority-religions-la-republique-and-the-g,"2119/Palmer - 2011 - The new heretics of FranceMinority religions, la republique, and the government-sponsored ”war on se.pdf","Palmer - 2011 - The new heretics of FranceMinority religions, la republique, and the government-sponsored ”war on se.pdf",4,native,False,processed,,documents/palmer-2011-the-new-heretics-of-franceminority-religions-la-republique-and-the-g
tourish-and-pinnington-2002-transformational-leadership-corporate-cultism-and-th,"2120/Tourish and Pinnington - 2002 - Transformational leadership, corporate cultism and the spirituality paradigm An unholy trinity in t.pdf","Tourish and Pinnington - 2002 - Transformational leadership, corporate cultism and the spirituality paradigm An unholy trinity in t.pdf",26,native,False,processed,,documents/tourish-and-pinnington-2002-transformational-leadership-corporate-cultism-and-th
dawson-2009-the-study-of-new-religious-movements-and-the-radicalization-of-home,2121/Dawson - 2009 - The study of new religious movements and the radicalization of home-grown terrorists Opening a dial.pdf,Dawson - 2009 - The study of new religious movements and the radicalization of home-grown terrorists Opening a dial.pdf,22,native,False,processed,,documents/dawson-2009-the-study-of-new-religious-movements-and-the-radicalization-of-home
dodd-et-al-2010-do-extreme-beliefs-about-internal-states-predict-mood-swings-in-2122,2122/Dodd et al. - 2010 - Do extreme beliefs about internal states predict mood swings in an analogue sample.pdf,Dodd et al. - 2010 - Do extreme beliefs about internal states predict mood swings in an analogue sample.pdf,8,native,False,processed,,documents/dodd-et-al-2010-do-extreme-beliefs-about-internal-states-predict-mood-swings-in-2122
buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on-2123,"2123/Buxant and Saroglou - 2007 - Feeling good, but lacking autonomy Closed-mindedness on social and moral issues in new religious mo.pdf","Buxant and Saroglou - 2007 - Feeling good, but lacking autonomy Closed-mindedness on social and moral issues in new religious mo.pdf",15,native,False,processed,,documents/buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on-2123
barker-2020-even-new-religious-movements-have-legacies-2124,2124/Barker - 2020 - Even new religious movements have legacies.pdf,Barker - 2020 - Even new religious movements have legacies.pdf,16,native,False,processed,,documents/barker-2020-even-new-religious-movements-have-legacies-2124
arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate-2125,2125/Arweck et al. - 2013 - Educating the next generation in universal values Hindu-related new religious movements and values.pdf,Arweck et al. - 2013 - Educating the next generation in universal values Hindu-related new religious movements and values.pdf,10,native,False,processed,,documents/arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate-2125
chryssides-2006-the-a-to-z-of-new-religious-movements,2126/Chryssides - 2006 - The a to Z of new religious movements.pdf,Chryssides - 2006 - The a to Z of new religious movements.pdf,422,native,False,processed,,documents/chryssides-2006-the-a-to-z-of-new-religious-movements
adeliyan-tous-et-al-2023-using-law-to-limit-religious-freedom-the-case-of-new-re,977/Adeliyan Tous et al. - 2023 - Using Law to Limit Religious Freedom The Case of New Religious Movements in France.pdf,Adeliyan Tous et al. - 2023 - Using Law to Limit Religious Freedom The Case of New Religious Movements in France.pdf,29,native,False,processed,,documents/adeliyan-tous-et-al-2023-using-law-to-limit-religious-freedom-the-case-of-new-re
