rejected_id,arm,selection_stratum,document_id,chunk_index,candidate_rank,rejection_code,rule_detail,model_verbatim_expression,resolved_text,span_start,span_end,expression_kind,attribution,claim_mode,epistemic_status,self_contained,cult_relevant,textually_intelligible,single_coherent_expression,relevance_note,entity_anchors,context_window,rejection_correct,should_have_been_retained,reviewer_notes
1,v2_qwen3-4b,random,clarke-2004-encyclopedia-of-new-religious-movements,605,4,short_fragment_no_referent,"1 words, no cult-related referent",lèse-majesté,lèse-majesté,1269,1281,association_or_framing,author,direct_statement,asserted,True,True,True,True,Legal term used to suppress new religions,,"Several aspects of State Shinto posed difficult contradictions for adherents of new religious movements (and Christianity). State Shinto's glorification of death in battle was enacted at Tokyo's Yasukuni Shrine, which came to serve as a national shrine for the war dead, but those whose religious beliefs precluded assent to the apotheosis of the war dead as national gods were suspected as traitors. Similarly, the custom of home worship of a talisman from the Ise Shrines came to have a semi-obligatory status under State Shinto, but the beliefs of new religions such as Sôka Gakkai conflicted with that observance, causing members to be viewed with suspicion when they would refuse to enshrine an Ise talisman. Likewise, ritual surrounding the Imperial Rescript on Education (1890) forced members of new religions to choose between their faith and social ostracism. This document, which functioned as a sacred text of State Shinto, painted an ideal of a state built on the model of a family, with the sacred emperor at its head. School pupils and military personnel were expected to bow in reverence as it was ceremonially read, and related ceremonies required reverence of the emperor's portrait.
State Shinto shaped the suppression of religions through charges of lèse-majesté. In a celebrated event of 1890, when Uchimura Kanzô (1861-1930) declined on Christian principles to pay obeisance at a ceremonial reading of the Imperial Rescript on Education, he was accused of lèse majesté, precipitating widespread debate on Christianity and patriotism. The Home Ministry ordered the dissolution of a new religion called Honmichi (f. 1913) and charged 180 of its members with lèse-majesté in 1928 when its founder Onishi Aijirô (1881-1958) publicly denied the emperor's divinity. In a similar incident of 1936, the new religion Hito no Michi (f. 1931) was disbanded on charges of lèse-majesté, stemming from a doctrine identifying the Shinto goddess Amaterasu Omikami (the first ancestor of the imperial house, according to Shinto mythology), with the sun, a position taken to slander the imperial house.
The Peace Preservation Law of 1925, which gave the state wide-ranging powers to restrict speech and public assembly, was used in combination with charges of lèsemajesté to suppress minority religions conflicting in some way with Shinto. Three new religious movements were effectively silenced and their leaders jailed until the end of the war through the combined charges of lèse-majesté and violating the Peace Preservation Law: Ômotokyô (f. 1892) in 1935 (see Omoto ) (following an earlier suppression of this religion in 1921 under the Newspaper Law), Honmichi in 1938 for pacifism and renewed denial of imperial divinity, and Soka Gakkai (f. 1930) in 1943, when its leaders refused to enshrine a talisman from the Ise Grand Shrines. There were also some cases targeting traditional Buddhist sects, but the majority of prewar incidents of religious suppression involved either Christianity or new religious movements. The highly repressive Religious Organizations Law of 1940 labeled all religious organizations except Buddhism, Shinto sects, and Christianity, 'pseudo-religions' (ruiji shûkyô), greatly curtailing the freedom of new religions to assemble, publish, or proselytize.",,,
2,v2_qwen3-4b,random,davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america,3,1,dangling_boundary,ends with 'are',Scientology should be treated in the legal domain just as more mainstream groups are.,Scientology should be treated in the legal domain just as more mainstream groups are.,303,388,claim,author,direct_statement,asserted,True,True,True,True,Cult-relevant legal treatment claim from author,,"The point of Melton's essay is not to make an apologia for Scientology. He takes no position on the truth or falsity of the group's claims. Rather, he seeks to show that its practices are not all that different from other ordered religious communities. The upshot, though not argued explicitly, is that Scientology should be treated in the legal domain just as more mainstream groups are. Unfortunately, this is not the case, especially in some European countries where Scientology is considered a dangerous cult that must be highly regulated or shut down.
It is often difficult to pinpoint what facet of NRMs appears as most dangerous to the wider community. Susan Palmer, however, may have identified such a feature in her chapter on gender and sex roles. Again, as Miller's essay shows, there is nothing new about the phenomenon whereby NRMs present a frontal challenge to traditional sex, gender, marital, and familial norms. Shaker founder Mother Ann Lee taught absolute celibacy, even within marriage, and came to be seen by her followers as the female manifestation of Christ. John Humphrey Noyes, by contrast, led his Oneida community into 'complex marriage' whereby nearly all the community's males were simultaneously married to all the females. Working from a sociological perspective, Palmer steps back from contemporary NRMs to find patterns in gender roles and sexual relationships. She also finds that the longer an NRM exists, the more it tends to move toward the mainstream. As has been shown so many times in American religious history, American culture has a seemingly inexhaustible capacity to co-opt radical groups and pull them into the mainstream of American life, which is instructive for those who are concerned that NRMs will distort and possibly help destroy American culture. It is more likely that the reverse will happen.
Along with groups practicing nontraditional sex and gender roles, those practicing Satanism and witchcraft have contended for status as most controversial of the NRMs. James Richardson, like Palmer, utilizes the tools of modern sociology to analyze Wicca and Satanism, both of which consist of, as Richardson writes, 'small numbers of people doing things that are usually quite harmless to themselves and others,' but nevertheless 'are defined as major social problems by many in the U.S. and elsewhere.' Fostered by 'claims makers,' such social problems, which by definition must be dealt with and overcome, can lead to a 'moral panic' and 'perceived danger' that is out of proportion to the actual threat. Richardson traces the recent moral panic that has arisen as a result of Satanism and Wicca and concludes that the anti-cult movement combined with the penchant for melding the identities of Satanism and Wicca will likely continue to foster difficulties for both movements into the foreseeable future.",,,
3,v2_qwen3-4b,random,davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america,8,1,not_verbatim,"the early Puritans, so called because they originally sought to 'purify,' meaning decatholicize, the Church of England","the early Puritans, so called because they originally sought to 'purify,' meaning decatholicize, the Church of England",,,,definition,author,direct_statement,asserted,True,True,True,True,Defines early Puritans as seeking to decatholicize Church of England,,"SEVENTEENTH CENTURY
It is a sad irony that those early British settlers who came to our shores for religious freedom did not themselves prove at all tolerant. The early Puritans, so called because they originally sought to 'purify,' meaning decatholicize, the Church of England, had themselves suffered plenty of persecution in England, particularly at the hands of William Laud, Bishop of London and later Archbishop of Canterbury, so much so that they began to flee the country, at first in small numbers to the Netherlands, and then in larger numbers to the new world. But once they had established their holy commonwealth in New England, they were as determined as any of their predecessors not to suffer the outrages of heretical doctrine and practice. The founding of Rhode Island was one outgrowth of that persecution, as refugees from Massachusetts made it their haven. Roger Williams went to Massachusetts as a minister for the church in Boston, but upon arrival refused to serve because the church had not formally separated itself from the Church of England. He compounded his problems with other heresies, including the patently outrageous idea that the settlers should not be stealing land from the Indians, as well as a set of convictions that amounted to a belief in the separation of church and state. By 1635, Williams was sentenced to deportation, and he responded by fleeing into the wilderness in 1636, heading south and eventually founding Providence. There he founded the first Baptist church in America, and, of course, he has become a great Baptist hero now that he is more than three hundred years dead and nobody actually has to deal with him any more. As an aside, one cannot help but wonder whether the current Southern Baptist leadership has ever looked at what its founding hero actually had to say, i.e., what a strong advocate he was for church-state separation.
Two years later Anne Hutchinson was similarly expelled from Massachusetts for her challenges to the Massachusetts ministers and especially for her defense, in what was essentially her heresy trial, in which she committed the cardinal error of claiming that she had received special revelation, direct communication from God. Woe be to anyone to whom God speaks directly! She and her supporters similarly found themselves starting life anew in the wilderness of Rhode Island. 1
The early New Englanders also had an especially intense dislike of the Quakers, who in their early years were zealous promoters of their own brand of Puritanism, which differed from that of the New England majority. The Quakers were among the most radical of the Puritans, vigorously opposing hierarchy and sacraments and seeking an intensively personal and individualized spirituality. They had their origin with George Fox, who in 1648 began to speak publicly of his faith, especially of his belief that one could have a direct revelation of Christ, indeed a direct, personal connection with God. He suffered persecution, but persevered and in 1652 organized a group of spiritual seekers in Lancashire. Quakers did indeed pose a threat to the established order, what with their disdain for ritual, their minimizing of the importance of ordained clergy, their giving up of visible sacraments, and, perhaps above all, their tremendous zeal to spread their faith.",,,
4,v2_qwen3-4b,random,dawson-2009-cults-and-new-religious-movements-a-reader,37,1,validation_flag_false,self_contained,"The Peoples Temple illustrates the pattern of severe economic self-renunciation characteristic of such movements, particularly in their early years:",,,,example_or_named_group,author,direct_statement,asserted,False,True,True,False,Example of cult illustrating economic self-renunciation pattern,,"The Peoples Temple illustrates the pattern of severe economic self-renunciation characteristic of such movements, particularly in their early years:
Finances for People's Temple members were fairly simple: everything went to Jim Jones. Families signed over homes, property, and pay-checks to the temple. To raise additional money for the cult, some members occasionally begged on street corners.
Members who did not live in the church had to tithe a minimum of 25 percent of their earnings. Those living on church property gave everything to Jones, who returned to them a two dollar weekly allowance. (Kerns 1979: 159)
The lifestyle to be found in world-rejecting movements - despite its deviant appearance - is characteristically highly organized and controlled. The need to generate adequate financial support often imposes severe rigours on members, particularly when combined with an ascetic ethic. Thomas Robbins et al. (1976: 115) argue of the Unification Church, for example, that, 'Life in a communal center is disciplined and most of the day is devoted to activities such as 'witnessing' on the street, giving and listening to lectures, and attending other functions.'
The rigours of fund-raising in the Unification Church have been described by Christopher Edwards, a former member:
I had been flower selling for a week now. At the end of each afternoon, we would return to the van, exhausted. For dinner - if lucky, we would receive a generous donation of unusable burgers someone had begged from the McDonald's franchise down the road by telling the manager we were poor missionaries. If we weren't so lucky, we might dine on donated stale doughnuts and cold pizza.
Our group was collecting over a thousand tax-free dollars daily.
Each morning we picked up our order of roses from the San Francisco flower district. We slept in vans at night, eight in a row, brothers at one end, sisters at another. When Family members were on the road for several days, we couldn't change clothes or shower. To even change a shirt in this crowded, smelly vehicle could tempt the sisters to fall again, might stir and excite the sexual drives now buried deep within our unconscious.
Night after night we worked until two in the morning, doing bar runs - blitzing, as we called it, coaxing drunks to buy wilted roses for the angry wives awaiting them at home. At 2.30, we would drive to a local park, praying in unison in the darkness . . . After the gruelling ritual ended, we settled down for a night's sleep, a full hour and a half, for we must soon be up for pledge service Sunday morning. (Edwards 1979: 161-2)
Success in fund-raising becomes an indicator of the member's own spiritual condition rather than of his worldly skills. Fund-raising is interpreted by members less as an economic necessity than as a method of spiritual growth (Bromley and Shupe 1979: 123). A Unification Church member reports that:
Fund-raising was a powerful experience for me. I was out on my own and had to make a decision: do I believe in the Divine Principle and am I willing to go through this? To me, fund-raising was a very spiritual experience in that it reaffirmed my faith. Every day I had to question what I believed. (Bryant and Hodges 1978: 62)
Daner (1976: 77) asserts that in Krishna Consciousness too, 'A devotee must be prepared to give his entire self to lead a life of day to day obedience and service'. Indeed, in the face of the increasing competition from groups and movements offering forms of 'easy' enlightenment, ISKCON'S magazine, Back to Godhead , has laid increasing stress on the necessity of spiritual discipline (Reis 1975: 133).",,,
5,v2_qwen3-4b,random,dawson-2009-cults-and-new-religious-movements-a-reader,37,2,validation_flag_false,self_contained,Finances for People's Temple members were fairly simple: everything went to Jim Jones.,,,,example_or_named_group,author,direct_statement,asserted,False,True,True,False,Describes financial structure of Peoples Temple,,"The Peoples Temple illustrates the pattern of severe economic self-renunciation characteristic of such movements, particularly in their early years:
Finances for People's Temple members were fairly simple: everything went to Jim Jones. Families signed over homes, property, and pay-checks to the temple. To raise additional money for the cult, some members occasionally begged on street corners.
Members who did not live in the church had to tithe a minimum of 25 percent of their earnings. Those living on church property gave everything to Jones, who returned to them a two dollar weekly allowance. (Kerns 1979: 159)
The lifestyle to be found in world-rejecting movements - despite its deviant appearance - is characteristically highly organized and controlled. The need to generate adequate financial support often imposes severe rigours on members, particularly when combined with an ascetic ethic. Thomas Robbins et al. (1976: 115) argue of the Unification Church, for example, that, 'Life in a communal center is disciplined and most of the day is devoted to activities such as 'witnessing' on the street, giving and listening to lectures, and attending other functions.'
The rigours of fund-raising in the Unification Church have been described by Christopher Edwards, a former member:
I had been flower selling for a week now. At the end of each afternoon, we would return to the van, exhausted. For dinner - if lucky, we would receive a generous donation of unusable burgers someone had begged from the McDonald's franchise down the road by telling the manager we were poor missionaries. If we weren't so lucky, we might dine on donated stale doughnuts and cold pizza.
Our group was collecting over a thousand tax-free dollars daily.
Each morning we picked up our order of roses from the San Francisco flower district. We slept in vans at night, eight in a row, brothers at one end, sisters at another. When Family members were on the road for several days, we couldn't change clothes or shower. To even change a shirt in this crowded, smelly vehicle could tempt the sisters to fall again, might stir and excite the sexual drives now buried deep within our unconscious.
Night after night we worked until two in the morning, doing bar runs - blitzing, as we called it, coaxing drunks to buy wilted roses for the angry wives awaiting them at home. At 2.30, we would drive to a local park, praying in unison in the darkness . . . After the gruelling ritual ended, we settled down for a night's sleep, a full hour and a half, for we must soon be up for pledge service Sunday morning. (Edwards 1979: 161-2)
Success in fund-raising becomes an indicator of the member's own spiritual condition rather than of his worldly skills. Fund-raising is interpreted by members less as an economic necessity than as a method of spiritual growth (Bromley and Shupe 1979: 123). A Unification Church member reports that:
Fund-raising was a powerful experience for me. I was out on my own and had to make a decision: do I believe in the Divine Principle and am I willing to go through this? To me, fund-raising was a very spiritual experience in that it reaffirmed my faith. Every day I had to question what I believed. (Bryant and Hodges 1978: 62)
Daner (1976: 77) asserts that in Krishna Consciousness too, 'A devotee must be prepared to give his entire self to lead a life of day to day obedience and service'. Indeed, in the face of the increasing competition from groups and movements offering forms of 'easy' enlightenment, ISKCON'S magazine, Back to Godhead , has laid increasing stress on the necessity of spiritual discipline (Reis 1975: 133).",,,
6,v2_qwen3-4b,random,dawson-2009-cults-and-new-religious-movements-a-reader,37,3,validation_flag_false,self_contained,"Families signed over homes, property, and pay-checks to the temple.",,,,example_or_named_group,author,direct_statement,asserted,False,True,True,False,Example of property transfer in Peoples Temple,,"The Peoples Temple illustrates the pattern of severe economic self-renunciation characteristic of such movements, particularly in their early years:
Finances for People's Temple members were fairly simple: everything went to Jim Jones. Families signed over homes, property, and pay-checks to the temple. To raise additional money for the cult, some members occasionally begged on street corners.
Members who did not live in the church had to tithe a minimum of 25 percent of their earnings. Those living on church property gave everything to Jones, who returned to them a two dollar weekly allowance. (Kerns 1979: 159)
The lifestyle to be found in world-rejecting movements - despite its deviant appearance - is characteristically highly organized and controlled. The need to generate adequate financial support often imposes severe rigours on members, particularly when combined with an ascetic ethic. Thomas Robbins et al. (1976: 115) argue of the Unification Church, for example, that, 'Life in a communal center is disciplined and most of the day is devoted to activities such as 'witnessing' on the street, giving and listening to lectures, and attending other functions.'
The rigours of fund-raising in the Unification Church have been described by Christopher Edwards, a former member:
I had been flower selling for a week now. At the end of each afternoon, we would return to the van, exhausted. For dinner - if lucky, we would receive a generous donation of unusable burgers someone had begged from the McDonald's franchise down the road by telling the manager we were poor missionaries. If we weren't so lucky, we might dine on donated stale doughnuts and cold pizza.
Our group was collecting over a thousand tax-free dollars daily.
Each morning we picked up our order of roses from the San Francisco flower district. We slept in vans at night, eight in a row, brothers at one end, sisters at another. When Family members were on the road for several days, we couldn't change clothes or shower. To even change a shirt in this crowded, smelly vehicle could tempt the sisters to fall again, might stir and excite the sexual drives now buried deep within our unconscious.
Night after night we worked until two in the morning, doing bar runs - blitzing, as we called it, coaxing drunks to buy wilted roses for the angry wives awaiting them at home. At 2.30, we would drive to a local park, praying in unison in the darkness . . . After the gruelling ritual ended, we settled down for a night's sleep, a full hour and a half, for we must soon be up for pledge service Sunday morning. (Edwards 1979: 161-2)
Success in fund-raising becomes an indicator of the member's own spiritual condition rather than of his worldly skills. Fund-raising is interpreted by members less as an economic necessity than as a method of spiritual growth (Bromley and Shupe 1979: 123). A Unification Church member reports that:
Fund-raising was a powerful experience for me. I was out on my own and had to make a decision: do I believe in the Divine Principle and am I willing to go through this? To me, fund-raising was a very spiritual experience in that it reaffirmed my faith. Every day I had to question what I believed. (Bryant and Hodges 1978: 62)
Daner (1976: 77) asserts that in Krishna Consciousness too, 'A devotee must be prepared to give his entire self to lead a life of day to day obedience and service'. Indeed, in the face of the increasing competition from groups and movements offering forms of 'easy' enlightenment, ISKCON'S magazine, Back to Godhead , has laid increasing stress on the necessity of spiritual discipline (Reis 1975: 133).",,,
7,v2_qwen3-4b,random,dawson-2009-cults-and-new-religious-movements-a-reader,37,4,validation_flag_false,self_contained,"To raise additional money for the cult, some members occasionally begged on street corners.",,,,example_or_named_group,author,direct_statement,asserted,False,True,True,False,Example of fundraising method in cult,,"The Peoples Temple illustrates the pattern of severe economic self-renunciation characteristic of such movements, particularly in their early years:
Finances for People's Temple members were fairly simple: everything went to Jim Jones. Families signed over homes, property, and pay-checks to the temple. To raise additional money for the cult, some members occasionally begged on street corners.
Members who did not live in the church had to tithe a minimum of 25 percent of their earnings. Those living on church property gave everything to Jones, who returned to them a two dollar weekly allowance. (Kerns 1979: 159)
The lifestyle to be found in world-rejecting movements - despite its deviant appearance - is characteristically highly organized and controlled. The need to generate adequate financial support often imposes severe rigours on members, particularly when combined with an ascetic ethic. Thomas Robbins et al. (1976: 115) argue of the Unification Church, for example, that, 'Life in a communal center is disciplined and most of the day is devoted to activities such as 'witnessing' on the street, giving and listening to lectures, and attending other functions.'
The rigours of fund-raising in the Unification Church have been described by Christopher Edwards, a former member:
I had been flower selling for a week now. At the end of each afternoon, we would return to the van, exhausted. For dinner - if lucky, we would receive a generous donation of unusable burgers someone had begged from the McDonald's franchise down the road by telling the manager we were poor missionaries. If we weren't so lucky, we might dine on donated stale doughnuts and cold pizza.
Our group was collecting over a thousand tax-free dollars daily.
Each morning we picked up our order of roses from the San Francisco flower district. We slept in vans at night, eight in a row, brothers at one end, sisters at another. When Family members were on the road for several days, we couldn't change clothes or shower. To even change a shirt in this crowded, smelly vehicle could tempt the sisters to fall again, might stir and excite the sexual drives now buried deep within our unconscious.
Night after night we worked until two in the morning, doing bar runs - blitzing, as we called it, coaxing drunks to buy wilted roses for the angry wives awaiting them at home. At 2.30, we would drive to a local park, praying in unison in the darkness . . . After the gruelling ritual ended, we settled down for a night's sleep, a full hour and a half, for we must soon be up for pledge service Sunday morning. (Edwards 1979: 161-2)
Success in fund-raising becomes an indicator of the member's own spiritual condition rather than of his worldly skills. Fund-raising is interpreted by members less as an economic necessity than as a method of spiritual growth (Bromley and Shupe 1979: 123). A Unification Church member reports that:
Fund-raising was a powerful experience for me. I was out on my own and had to make a decision: do I believe in the Divine Principle and am I willing to go through this? To me, fund-raising was a very spiritual experience in that it reaffirmed my faith. Every day I had to question what I believed. (Bryant and Hodges 1978: 62)
Daner (1976: 77) asserts that in Krishna Consciousness too, 'A devotee must be prepared to give his entire self to lead a life of day to day obedience and service'. Indeed, in the face of the increasing competition from groups and movements offering forms of 'easy' enlightenment, ISKCON'S magazine, Back to Godhead , has laid increasing stress on the necessity of spiritual discipline (Reis 1975: 133).",,,
8,v2_qwen3-4b,random,dawson-2009-cults-and-new-religious-movements-a-reader,37,5,validation_flag_false,self_contained,Members who did not live in the church had to tithe a minimum of 25 percent of their earnings.,,,,criterion,author,direct_statement,asserted,False,True,True,False,Tithing criterion for non-church members,,"The Peoples Temple illustrates the pattern of severe economic self-renunciation characteristic of such movements, particularly in their early years:
Finances for People's Temple members were fairly simple: everything went to Jim Jones. Families signed over homes, property, and pay-checks to the temple. To raise additional money for the cult, some members occasionally begged on street corners.
Members who did not live in the church had to tithe a minimum of 25 percent of their earnings. Those living on church property gave everything to Jones, who returned to them a two dollar weekly allowance. (Kerns 1979: 159)
The lifestyle to be found in world-rejecting movements - despite its deviant appearance - is characteristically highly organized and controlled. The need to generate adequate financial support often imposes severe rigours on members, particularly when combined with an ascetic ethic. Thomas Robbins et al. (1976: 115) argue of the Unification Church, for example, that, 'Life in a communal center is disciplined and most of the day is devoted to activities such as 'witnessing' on the street, giving and listening to lectures, and attending other functions.'
The rigours of fund-raising in the Unification Church have been described by Christopher Edwards, a former member:
I had been flower selling for a week now. At the end of each afternoon, we would return to the van, exhausted. For dinner - if lucky, we would receive a generous donation of unusable burgers someone had begged from the McDonald's franchise down the road by telling the manager we were poor missionaries. If we weren't so lucky, we might dine on donated stale doughnuts and cold pizza.
Our group was collecting over a thousand tax-free dollars daily.
Each morning we picked up our order of roses from the San Francisco flower district. We slept in vans at night, eight in a row, brothers at one end, sisters at another. When Family members were on the road for several days, we couldn't change clothes or shower. To even change a shirt in this crowded, smelly vehicle could tempt the sisters to fall again, might stir and excite the sexual drives now buried deep within our unconscious.
Night after night we worked until two in the morning, doing bar runs - blitzing, as we called it, coaxing drunks to buy wilted roses for the angry wives awaiting them at home. At 2.30, we would drive to a local park, praying in unison in the darkness . . . After the gruelling ritual ended, we settled down for a night's sleep, a full hour and a half, for we must soon be up for pledge service Sunday morning. (Edwards 1979: 161-2)
Success in fund-raising becomes an indicator of the member's own spiritual condition rather than of his worldly skills. Fund-raising is interpreted by members less as an economic necessity than as a method of spiritual growth (Bromley and Shupe 1979: 123). A Unification Church member reports that:
Fund-raising was a powerful experience for me. I was out on my own and had to make a decision: do I believe in the Divine Principle and am I willing to go through this? To me, fund-raising was a very spiritual experience in that it reaffirmed my faith. Every day I had to question what I believed. (Bryant and Hodges 1978: 62)
Daner (1976: 77) asserts that in Krishna Consciousness too, 'A devotee must be prepared to give his entire self to lead a life of day to day obedience and service'. Indeed, in the face of the increasing competition from groups and movements offering forms of 'easy' enlightenment, ISKCON'S magazine, Back to Godhead , has laid increasing stress on the necessity of spiritual discipline (Reis 1975: 133).",,,
9,v2_qwen3-4b,random,dawson-2009-cults-and-new-religious-movements-a-reader,37,6,validation_flag_false,self_contained,"Those living on church property gave everything to Jones, who returned to them a two dollar weekly allowance.",,,,example_or_named_group,author,direct_statement,asserted,False,True,True,False,Financial arrangement for church property residents,,"The Peoples Temple illustrates the pattern of severe economic self-renunciation characteristic of such movements, particularly in their early years:
Finances for People's Temple members were fairly simple: everything went to Jim Jones. Families signed over homes, property, and pay-checks to the temple. To raise additional money for the cult, some members occasionally begged on street corners.
Members who did not live in the church had to tithe a minimum of 25 percent of their earnings. Those living on church property gave everything to Jones, who returned to them a two dollar weekly allowance. (Kerns 1979: 159)
The lifestyle to be found in world-rejecting movements - despite its deviant appearance - is characteristically highly organized and controlled. The need to generate adequate financial support often imposes severe rigours on members, particularly when combined with an ascetic ethic. Thomas Robbins et al. (1976: 115) argue of the Unification Church, for example, that, 'Life in a communal center is disciplined and most of the day is devoted to activities such as 'witnessing' on the street, giving and listening to lectures, and attending other functions.'
The rigours of fund-raising in the Unification Church have been described by Christopher Edwards, a former member:
I had been flower selling for a week now. At the end of each afternoon, we would return to the van, exhausted. For dinner - if lucky, we would receive a generous donation of unusable burgers someone had begged from the McDonald's franchise down the road by telling the manager we were poor missionaries. If we weren't so lucky, we might dine on donated stale doughnuts and cold pizza.
Our group was collecting over a thousand tax-free dollars daily.
Each morning we picked up our order of roses from the San Francisco flower district. We slept in vans at night, eight in a row, brothers at one end, sisters at another. When Family members were on the road for several days, we couldn't change clothes or shower. To even change a shirt in this crowded, smelly vehicle could tempt the sisters to fall again, might stir and excite the sexual drives now buried deep within our unconscious.
Night after night we worked until two in the morning, doing bar runs - blitzing, as we called it, coaxing drunks to buy wilted roses for the angry wives awaiting them at home. At 2.30, we would drive to a local park, praying in unison in the darkness . . . After the gruelling ritual ended, we settled down for a night's sleep, a full hour and a half, for we must soon be up for pledge service Sunday morning. (Edwards 1979: 161-2)
Success in fund-raising becomes an indicator of the member's own spiritual condition rather than of his worldly skills. Fund-raising is interpreted by members less as an economic necessity than as a method of spiritual growth (Bromley and Shupe 1979: 123). A Unification Church member reports that:
Fund-raising was a powerful experience for me. I was out on my own and had to make a decision: do I believe in the Divine Principle and am I willing to go through this? To me, fund-raising was a very spiritual experience in that it reaffirmed my faith. Every day I had to question what I believed. (Bryant and Hodges 1978: 62)
Daner (1976: 77) asserts that in Krishna Consciousness too, 'A devotee must be prepared to give his entire self to lead a life of day to day obedience and service'. Indeed, in the face of the increasing competition from groups and movements offering forms of 'easy' enlightenment, ISKCON'S magazine, Back to Godhead , has laid increasing stress on the necessity of spiritual discipline (Reis 1975: 133).",,,
10,v2_qwen3-4b,random,dawson-2009-cults-and-new-religious-movements-a-reader,37,7,validation_flag_false,self_contained,The lifestyle to be found in world-rejecting movements - despite its deviant appearance - is characteristically highly organized and controlled.,,,,association_or_framing,author,direct_statement,asserted,False,True,True,False,Characterization of world-rejecting movements,,"The Peoples Temple illustrates the pattern of severe economic self-renunciation characteristic of such movements, particularly in their early years:
Finances for People's Temple members were fairly simple: everything went to Jim Jones. Families signed over homes, property, and pay-checks to the temple. To raise additional money for the cult, some members occasionally begged on street corners.
Members who did not live in the church had to tithe a minimum of 25 percent of their earnings. Those living on church property gave everything to Jones, who returned to them a two dollar weekly allowance. (Kerns 1979: 159)
The lifestyle to be found in world-rejecting movements - despite its deviant appearance - is characteristically highly organized and controlled. The need to generate adequate financial support often imposes severe rigours on members, particularly when combined with an ascetic ethic. Thomas Robbins et al. (1976: 115) argue of the Unification Church, for example, that, 'Life in a communal center is disciplined and most of the day is devoted to activities such as 'witnessing' on the street, giving and listening to lectures, and attending other functions.'
The rigours of fund-raising in the Unification Church have been described by Christopher Edwards, a former member:
I had been flower selling for a week now. At the end of each afternoon, we would return to the van, exhausted. For dinner - if lucky, we would receive a generous donation of unusable burgers someone had begged from the McDonald's franchise down the road by telling the manager we were poor missionaries. If we weren't so lucky, we might dine on donated stale doughnuts and cold pizza.
Our group was collecting over a thousand tax-free dollars daily.
Each morning we picked up our order of roses from the San Francisco flower district. We slept in vans at night, eight in a row, brothers at one end, sisters at another. When Family members were on the road for several days, we couldn't change clothes or shower. To even change a shirt in this crowded, smelly vehicle could tempt the sisters to fall again, might stir and excite the sexual drives now buried deep within our unconscious.
Night after night we worked until two in the morning, doing bar runs - blitzing, as we called it, coaxing drunks to buy wilted roses for the angry wives awaiting them at home. At 2.30, we would drive to a local park, praying in unison in the darkness . . . After the gruelling ritual ended, we settled down for a night's sleep, a full hour and a half, for we must soon be up for pledge service Sunday morning. (Edwards 1979: 161-2)
Success in fund-raising becomes an indicator of the member's own spiritual condition rather than of his worldly skills. Fund-raising is interpreted by members less as an economic necessity than as a method of spiritual growth (Bromley and Shupe 1979: 123). A Unification Church member reports that:
Fund-raising was a powerful experience for me. I was out on my own and had to make a decision: do I believe in the Divine Principle and am I willing to go through this? To me, fund-raising was a very spiritual experience in that it reaffirmed my faith. Every day I had to question what I believed. (Bryant and Hodges 1978: 62)
Daner (1976: 77) asserts that in Krishna Consciousness too, 'A devotee must be prepared to give his entire self to lead a life of day to day obedience and service'. Indeed, in the face of the increasing competition from groups and movements offering forms of 'easy' enlightenment, ISKCON'S magazine, Back to Godhead , has laid increasing stress on the necessity of spiritual discipline (Reis 1975: 133).",,,
