criterion_key,criterion_label,pool,rank,key,label,euclidean_distance,cosine_similarity
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,entities,1,thought reform and the psychology of totalism,thought reform and the psychology of totalism,0.9972385839954384,0.5027576905695732
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,entities,2,dianetics: the modern science of mental health,dianetics: the modern science of mental health,0.999565581572293,0.5004344666543857
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,entities,3,diagnostic and statistical manual of mental disorders,diagnostic and statistical manual of mental disorders,1.0040253923120326,0.4959663938846749
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,entities,4,submissiveness,submissiveness,1.0081137421650614,0.49185327534143947
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,entities,5,conscientious objection,conscientious objection,1.018718781059379,0.481106051062777
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,literature,1,adeliyan-tous-et-al-2023-using-law-to-limit-religious-freedom-the-case-of-new-re:8,"Groups aiming through maneuvers of psychological destabilization to obtain unconditional allegiance from their followers, a diminution in critical thinking, and a rupture with commonly accepted references (ethical, scientific, civic, educational), and entailing dangers for individual freedoms, health, education, and democratic institutions.",0.7809574464665126,0.6950527205114204
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,literature,2,adeliyan-tous-et-al-2023-using-law-to-limit-religious-freedom-the-case-of-new-re:22,"It is a deviation from freedom of thought, opinion or religion which undermines public order, laws or regulations, or persons' fundamental rights, security or integrity.",0.7894854336260382,0.6883563179182544
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,literature,3,richardson-and-introvigne-2001-brainwashing-theories-in-european-parliamentary-a:11,the goal or effect to create or to exploit the state of mental or physical dependence of people who are participating in its activities,0.813803542854638,0.668862015992832
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,literature,4,dawson-2009-cults-and-new-religious-movements-a-reader:145,Destabilize a person's sense of self.,0.8244185607895722,0.6601670833645787
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,literature,5,anthony-and-robbins-2009-conversion-and-brainwashing-in-new-religious-movements:1,a useful though scientifically imprecise concept which refers to an array of complex phenomena resulting in the impairment of the individual's cognitive and social functioning,0.8539255604344747,0.6354054803600419
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,literature,6,2008-the-oxford-handbook-of-new-religious-movements-1:225,a useful though scientifically imprecise concept which refers to an array of complex phenomena resulting in the impairment of the individual's cognitive and social functioning,0.8539255604344747,0.6354054803600419
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,literature,7,anthony-and-robbins-2009-conversion-and-brainwashing-in-new-religious-movements:31,brainwashing consists of overwhelming or irresistible 'extrinsic' influence to which the inner qualities of the person are irrelevant,0.8662300659581739,0.624822853759246
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,literature,8,kaplan-and-l-w-2002-2-the-cult-the-cultic-milieu-and-secularization:274,mental manipulation,0.8760538029780817,0.6162648045158152
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,literature,9,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other:218,mental manipulation,0.8760538029780817,0.6162648045158152
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,literature,10,richardson-and-introvigne-2001-brainwashing-theories-in-european-parliamentary-a:7,mental manipulation,0.8760538029780817,0.6162648045158152
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,interviews,1,b1-aug08-1420:0,"So, I'd picture something American, okay — brainwashing, suppressive, abusive.",0.9067948445141231,0.588861539636294
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,interviews,2,b1-aug08-2128:0,"I would say it's people participating in something, and then there's a person who has another agenda and kind of manipulates them, and uses, like — their, I don't know — participation, or — I think that's not the right word — but, like, their willingness, and, like, their good [nature] to participate in something.",0.9174981853551044,0.5790983878775058
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,interviews,3,b1-aug11-2011:0,"It means committing to rules, committing to maybe a financial engagement, and it comes with giving up some individual freedoms, let's say.",0.9254540068503021,0.5717675342560127
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,interviews,4,b1-aug08-2128:0,"Something suspicious, something dangerous, something not normal.",0.9268631319689015,0.570462398373436
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,interviews,5,ig-06:0,"attempting to deviate from academic norms through “breaking boundaries”, central figure with authoritative behavior and high controlled dynamic with attempts at isolating members from larger communities",0.943624050919778,0.5547867469914409
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,interviews,6,b3-aug22-2101:0,"A priori, dans la définition même, ça implique un truc négatif.",0.9632364151732088,0.5360877394586221
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,interviews,7,ig-07:0,"But I suppose most commonly I'd consider groups of people with some commonly considered 'alternative' beliefs and a person, figure or certain idea as a central element within their communal belief system.",0.96515473452778,0.5342380171717833
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,interviews,8,b1-aug08-1420:0,"I guess there's a definition of cult, and hopefully they're assessed based on some definition, but I guess a cult is anything that becomes too extreme in an ideology, and kind of just messes with the people themselves.",0.965774579082876,0.5336396393702398
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,interviews,9,b1-aug08-2145:0,"I think the first thing that comes to my mind is more, probably, the bad side of it — the bad side of it.",0.9701483727230237,0.5294059081919036
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,interviews,10,b1-aug09-2048:0,"something nasty, something really nasty.",0.9755139819834986,0.5241861665546084
crit-rupture-origin-environment,"La rupture avec l'environnement d'origine (proches, famille)",entities,1,radical departures,radical departures,0.9536142169672437,0.545309909208642
crit-rupture-origin-environment,"La rupture avec l'environnement d'origine (proches, famille)",entities,2,self transformation,self transformation,0.9597850492060391,0.5394062676260687
crit-rupture-origin-environment,"La rupture avec l'environnement d'origine (proches, famille)",entities,3,falling from the faith,falling from the faith,0.9684878820750235,0.531015631402183
