sample_id,source_dataset,document_id,chunk_index,embedding_text,context_window,attribution,claim_mode,epistemic_status,raw_archive_path,raw_archive_line,expression_faithful,attribution_correct,claim_mode_correct,epistemic_status_correct,recommended_epistemic_status,extracion_issue
1,literature,anthony-and-robbins-2009-conversion-and-brainwashing-in-new-religious-movements,27,most of this research challenged the cultic brainwashing idea,"Conversion and 'Brainwashing' in New Religious Movements
The previous sections of this chapter have demonstrated that the theory of coercive conversion embodied in brainwashing formulations has been disconfirmed both with respect to the original research on Communist thought reform and by a substantial body of research on new religious movements or cults. We earlier published an analysis of the history of brainwashing formulations in both settings, which we refer to as 'first phase' and 'second phase' brainwashing formulations (Anthony and Robbins 1995). In an attempt to surmount the definitive disconfirmations of these earlier stages, We also describe a third phase of brainwashing formulations that have recently arisen. In order to understand this recent stage, it is important to realize that neither of the earlier phases were used as a basis for methodologically sound scientific research. The original brainwashing explanation of Communist influence was developed by the American CIA as a social weapon in a propaganda/disinformation program. It was intended to undermine the authenticity of Communist influence in the Cold War era by interpreting it as the result of a sinister psychotechnology. The primary use of second-phase brainwashing arguments has been as an ideological rationale for practical actions by families and the courts to counteract the influence of new religions, by explaining conversions as resulting from coercive influence. (The plausibility of the cultic brainwashing argument has always been based upon its claimed foundation in research on Communist thought reform rather than research on new religions.) In many civil lawsuits against new religions, anticult experts have used the cultic brainwashing theory as a basis for testimony, arguing that ex-members had joined a new religion against their will and as a result were owed compensation because of alleged emotional damages. From the mid-1970s to the mid-1990s, cultic brainwashing testimony and legal actions were often successful in punishing and even crippling new religions as the result of the imposition of large compensatory and punitive damages, sometimes as high as $20-30 million and sometimes forcing a new religion into bankruptcy and even dissolution. Largely because of concern over the effects upon new religions' civil liberties, scholars began to conduct substantial research evaluating the coercive conversion idea. As we have seen, most of this research challenged the cultic brainwashing idea. In addition, Anthony published a sequence of articles and book chapters (some of which were coauthored by Robbins) demonstrating the lack of congruence between cultic brainwashing formulations and its claimed theoretical foundation of research on Communist thought reform. These articles also demonstrated scientific and constitutional problems in the admission of cultic brainwashing testimony, as well as defects in the legal reasoning that construed the cultic brainwashing theory as a basis for legal actions against NRMs. Professional associations (the American Psychology Association, the American Sociological Association, and the Society for the Scientific Study of Religion) submitted a series of amicus curiae briefs in the appeals of legal decisions based upon cultic brainwashing testimony, arguing that such testimony was inadmissible because of the (p. 271)
Page
28
of
58
PRINTED FROM OXFORD HANDBOOKS ONLINE (www.oxfordhandbooks.com). (c) Oxford University Press, 2015. All Rights
Reserved. Under the terms of the licence agreement, an individual user may print out a PDF of a single chapter of a title in
Oxford Handbooks Online for personal use.",author,direct_statement,asserted,/Users/celestinmeunier/Documents/cults/thesis/corpus/processed/literature/criterion_expressions.jsonl,429,yes,no,yes,yes,,none
2,literature,2008-the-oxford-handbook-of-new-religious-movements-1,152,required governmental entities to show that there were no other less obtrusive alternatives available to accomplish the specific goal of a given law,"Early Social Control Efforts in the U.S.
...................................................................................................................................................................
Early efforts at social control of controversial new religions in the U.S. involved issues of consumer protection, with attempts in various states to define newer religions legislatively as a consumer good or service subject to regulation similar to consumer products. However, such efforts usually foundered because of problems defining what groups or activities were to be covered, or over issues of religious freedom and freedom of association (Richardson 1986; Guttman 1985; Flinn 1987).
Efforts to get the federal government to intervene by officially defining certain religious groups as unacceptable, and then acting on such designations, also were generally unsuccessful in the U.S., for reasons similar to those that led to the demise of state-level effort at legislative action. 1 This does not mean that all governmental entities in the U.S. were positively oriented toward NRMs. Indeed, there have been sporadic efforts to exert control over NRMs by state and local jurisdictions attempting to limit fund-raising, proselytizing efforts, or other activities. Also, certain federal agencies such as the Immigration and Naturalization Service have attempted to limit the ingress of foreign nationals associated with certain NRMs, or to remove foreign citizens who have come to this country as leaders of NRMs (see, e.g., Carter's 1990 discussion of the situation in Oregon concerning the Bhagwan Rajneesh and efforts to force him to leave).
Although these direct control efforts have often (but not always) suffered from enforcement of the religious freedom clause of the U.S. Constitution by the U.S. Supreme Court, there has also been a move by the U.S. Supreme Court to promote more of a European-style 'management model' for minority faiths, including NRMs (Richardson 1995a; Regan 1986). Thus, particularly as demonstrated in the famous 1990 Employment Division of Oregon v. Smith case, religious freedom issues seem to have been relegated to a lesser position than has traditionally been the case in the U.S. The Smith ruling provoked a major reaction in the U.S. and led to passage in 1993 of the Religious Freedom Restoration Act (RFRA). This act forced governmental entities to demonstrate that there was a 'compelling state interest' at stake any time a restriction on religious activity was being contemplated. The act also required governmental entities to show that there were no other less obtrusive alternatives available to accomplish the specific goal of a given law. However, RFRA was ruled unconstitutional five years later, thwarting this effort to reestablish religious freedom as a paramount value in the U.S. (Richardson 2000).
Much more successful in the U.S., at least initially, were efforts to define participation in religious groups as a mental health problem, thereby bringing the weight of the powerful mental health establishment to bear on the issue of controlling NRMs (Robbins, Anthony, and McCarthy 1983; Kilbourne and Richardson 1984; James 1986; Saliba 1993; Richardson 1991, 1993a, 1993b, 1995; Anthony 1990). The use of mental health constructs such as the pseudoscientific concepts 'brainwashing' and 'mind control' in early efforts at social control added a powerful weapon to the arsenal of those concerned about the development and spread of alternative religious experiences in the U.S. Given the heavy penetration of psychology and psychiatry into the American legal system (Faust and Ziskin 1988), it was just a matter of time before such concepts began to play a role in legal efforts to exert social control over the new religions. Indeed, it is arguable that the problematic constructs such as 'brainwashing' were developed in the contemporary context with social control of controversial NRMs as their main purpose (Richardson and Kilbourne 1983).",author,direct_statement,asserted,/Users/celestinmeunier/Documents/cults/thesis/corpus/processed/literature/criterion_expressions.jsonl,1667,,,,,,off_topic
3,literature,2008-the-oxford-handbook-of-new-religious-movements-1,162,"This countereffort by such significant third parties caught the attention of judges and others, and the U.S. legal system started being somewhat more responsive to NRMs' claims and defenses when they were involved in legal actions","Black's theorizing is helpful in understanding the sometimes dramatic change that occurred with treatment of NRMs in the U.S. legal system. In simple terms, NRMs eventually were able to establish ties with important third parties (Black and Baumgartner 1999) who came to the defense of such groups, even if sometimes reluctantly. The NRMs were able to attract the attention and support of individuals and groups that would normally have had little interest in such groups. This occurred mainly because these third parties were interested in ideas that were being tested or ignored, through social control efforts being made toward NRMs. Thus, whereas originally NRMs had few high-status friends (and certainly not intimate ones in the sense meant by Black), they were able over time to establish important connections with some groups which became partisans for them within the legal system (Black 1999: 125).
What this means in simple terms is that more powerful groups within the U.S. came to be interested in the plight of NRMs that were being put upon by some parents and others involved in what is called by sociologists the 'anti-cult movement' (Shupe and Bromley 1980). Thus the ACLU entered the fray quite early, with criticisms of deprogramming and the use of conservatorship laws to put a legal face on such actions by those wanting to control NRMs. The National Council of Churches also issued statements defending the right of adults to choose and practice the religion of their choice and decrying the use of deprogramming. Other groups, such as Americans for Separation for Church and State, entered the fray and issued statements defending the right of individuals to participate in NRMs, and the right of such groups to exist. Some of these groups even entered specific legal matters as parties or by furnishing legal advice and assistance to a few beleaguered NRMs.
The involvement of these significant third parties acting in a partisan way on behalf of unpopular NRMs forced those using the legal system as a device for social control of NRMs to recognize that doing so might be imperiling constitutional protections for freedom of religion and association. This countereffort by such significant third parties caught the attention of judges and others, and the U.S. legal system started being somewhat more responsive to NRMs' claims and defenses when they were involved in legal actions. This new situation in turn led to an increase in the odds of an NRM prevailing in a legal action, whether it was as a defendant in a civil action or when it was acting as a plaintiff in a legal action.
One important third-party group to NRMs has been scholars who study NRMs, most of whom do not accept notions that people can be forced against their will to participate in such groups and their activities. The obvious ideological basis for such claims was offensive to a number of scholars whose fieldwork on various NRMs showed a clear volitional element when people chose to participate. Eventually a group of scholars, mostly sociologists of religion, but also some psychologists of religion and religious historians, became involved in some cases, giving advice and occasionally agreeing to offer rebuttal testimony to those who would propound 'brainwashing'-based theories about why and how people participate in NRMs. Such involvement of scholars, offering scientifically based critiques of 'brainwashing' testimony, led eventually to such testimony being disallowed in most U.S. courts for purposes of obtaining damages from NRMs by former members (Richardson 1991; Anthony 1990; Anthony and Robbins 1995; Ginsburg and Richardson 1998).",author,direct_statement,asserted,/Users/celestinmeunier/Documents/cults/thesis/corpus/processed/literature/criterion_expressions.jsonl,1767,,,,,,off_topic
4,literature,2008-the-oxford-handbook-of-new-religious-movements-1,194,"Hervieu-Le ´ger is not what, in certain quarters, would be called a 'cult apologist'","Type II reports represent more acceptance of scholarly work when compared with Type I reports and prove that cooler tempers can prevail. Although Type II reports are still uncertain concerning the use of brainwashing/mind control metaphors, and most contain suggestions that problems remain in the area of recruitment and retention techniques, these reports are leading to a sober public discussion of 'cult' issues in countries such as Germany or Switzerland (or, at least, most Swiss Cantons). Type II reports have also influenced Belgium, a country where the local 'Observatory of Harmful Sects,' quite surprisingly, is increasingly distancing itself from its French counterpart and exerting a moderating influence. France (in close cooperation, in several international fora, with China and Russia) remains the only staunch defender of the anti-cult attitude of the Type I reports in Western Europe, now embodied in the French anti-cult law of May 30, 2001; its position is followed only in certain French-speaking Cantons of Switzerland, and even there not without political resistance. The question of why a French exceptionalism manifests itself on the cult issue is, as a consequence, crucial for an understanding of the whole European cult/sect controversy.
French Exceptionalism
...................................................................................................................................................................
Why, exactly, is France different from its European neighbors on the issue of cults (known in France as les sectes )? In 2001, French sociologist Danie `le Hervieu-Le ´ger published an important book, La Religion en miettes ou la question des sectes , in which she addressed the question of why a governmental anti-cult crusade is being promoted in France and not in other countries. Discussing this book is, in my opinion, crucial in order to answer the question about French exceptionalism; Hervieu-Le ´ger's theories on Europe, secularization, and 'cults' play at any rate a central role in contemporary Western European sociology of religion (see Davie 2000). Hervieu-Le ´ger is not what, in certain quarters, would be called a 'cult apologist.' She has, in fact, never participated in international academic protests against the anti-cult activities of the French government, and she confirms in the book that, in her opinion, some governmental cult-watching is acceptable. However, the French anti-cult law passed in 2001 has found in Hervieu-Le ´ger a critic, and she now acknowledges that the question of cults has been 'overdramatized' in France (61), and that political measures are taken based on faulty information grounded on the vested interests of private anti-cult organizations, on former members, and on the controversial notion of brainwashing (61-65). Although there is some interesting (and, within the French context, quite new) criticism of all this, Hervieu-Le ´ger's main aim is to explain why France, a notoriously contentious country, exhibits such a suspicious unanimity in politics and the media, when it comes to cults or sectes . Hers is a long book, not only in pages; it discusses other issues as well and, in order to do it justice, the book has to be considered within the framework of the author's previous works. Since this is impossible here, I will confine my remarks to a discussion of three main answers to the question, Why in France?, which Hervieu-Le ´ger presents in her latest book.",author,direct_statement,asserted,/Users/celestinmeunier/Documents/cults/thesis/corpus/processed/literature/criterion_expressions.jsonl,1980,,,,,,off_topic
5,literature,2008-the-oxford-handbook-of-new-religious-movements-1,214,The massacre of children at Jonestown in 1978 excited the interest of police officers and journalists,"One story linked Manson to the Church of the Process, a connection that the group would staunchly contest in the courts: Sanders 'alludes to the existence of a sort of modern Thuggee or Satanic underground, in which he claims The Process to have been a central organizing factor.' Since Sanders's book was such a major contribution to anti-Satanic theory, it is important to realize that the author was not a sober social scientist, but a fairly eccentric activist and Beat poet, and it pays to realize that much of The Family reads like it was written with tongue in cheek. Sanders often indulges in considerable irony in order to parody the sensationalistic press expose ´s of the Manson clan. How exactly are we to take the portentous closing words of the book: 'And only when all these evil affairs are known and exposed can the curse of ritual sacrifice, Helter Skelter and Satanism be removed from the coasts and mountains and deserts of California'? 20
The Panic of the 1980s
...................................................................................................................................................................
All that really remained to be added to form the full-blooded Satanism of the panic years was the notion of a special threat of children, and in fact that requires some explanation. Though children were said to be killed and/or eaten during both the Sabbat and the Black Mass, such charges had not surfaced too often during the literary accounts of the twentieth century. This may reflect the rather lower emphasis placed on crimes against children at various times in this period, or else there simply was not the slightest authentic evidence linking the occult to offenses against the young. From the 1970s, however, social sensibilities changed dramatically, with a radically new emphasis on child protection as an urgent social need. It was in 1977 that the term 'child abuse' acquired its special modern meaning of sexual acts committed against the young, and over the following years there was an outpouring of expose ´s about child murder, child pornography, and kidnaping. Elsewhere, I have called the decade after 1977 the era of America's 'child abuse revolution.' 21
It is in this context that we must see the new interest in the extreme physical and sexual maltreatment said to be inflicted upon children in cult groups. The massacre of children at Jonestown in 1978 excited the interest of police officers and journalists who would later become important writers on Satanism and other cult activities. Kenneth Wooden's 1981 book, Children of Jonestown , pioneered the notion of cults 'ritualistically abusing' young people and even suggests that 'babies, born into cults, their births unregistered, are reported to have died of unnatural causes and to have been buried in secrecy, like pets.' 22 Wooden's position as a television reporter and producer gave him a unique platform from which to disseminate his concept of cult abuses. In 1980, the key book Michelle Remembers drew attention to the developing idea of ritualized child abuse and explicitly suggested that the cults involved were Satanic in nature. The pseudonymous Michelle described memories that she claimed to have recalled during therapy in the late 1970s. In these sessions, she reported sexual atrocities inflicted on her as a child in Vancouver in the early 1950s.",author,direct_statement,asserted,/Users/celestinmeunier/Documents/cults/thesis/corpus/processed/literature/criterion_expressions.jsonl,2112,,,,,,multiple_claims
6,literature,2008-the-oxford-handbook-of-new-religious-movements-1,219,Whether teen Satanism can be described as a new religious movement is open to some debate,"It should be said here that, unlike ritual abuse, teenage Satanism does exist. Over the last thirty years or so, many young people have affected Satanic dress and symbols, in part because this seems the most effective way of shocking jaded communities. One might ask how else one could mount a teenage rebellion against baby boomers who themselves grew up in a culture of sex, drugs, and rock and roll. Whether teen Satanism can be described as a new religious movement is open to some debate, because it has so few of the aspects of a religion, no hierarchy, no membership system, no structure, not even a network connecting regions or neighborhoods. It tends to exist as a rhetorical style, supported by common adherence to favored books, films, and rock music. In many cases, 'membership' involves little more than listening to particular albums, wearing black, and purchasing a copy of Anton LaVey's Satanic Bible . Since adherence is so casual, assessing numbers involved is next to impossible.
This picture is utterly different from the sinister image offered in the late 1980s, with its threatening image of a slippery slope. The commonplace view during the great scare was that occult dabbling would inexorably lead to serious cult involvement. Young people would graduate from mere 'self-styled Satanists' to become Religious Satanists or even Cult Satanists, the most pernicious group of all. The consequences, it was alleged, might include violence and gang activity, suicide, and homicide, and this last notion was substantiated by well-publicized cases of teenagers murdering friends or family members. The prime exhibits in this account were killers like Sean Sellers and Pete Roland, both of whom were widely discussed in books and television specials, and both did indeed claim to have killed for Satan.
But we should be very cautious about accepting such claims. By definition, multiple killers are not normal people, and they might have odd motivations for their acts. In fact, it is quite common for acts of violence to have as their goal some imagined religious motive, such as a response to a divine commandment. Receiving orders from supernatural forces is a common manifestation of paranoid schizophrenia, a condition believed to be present in a number of multiple homicide cases. In many such cases, offenders receive orders from what they perceived to be the Christian God, and this is the norm in the vast majority of such delusions. The number of murders attributed to divine command is many times greater than those blamed on Satan. On the other hand, it would surely be unacceptable to describe such actions as 'Christian ritual killings' or 'biblical sacrifices.' These were the work of disturbed individuals whose psychiatric conditions chanced to be expressed in the language and rhetoric of a belief system widespread in their particular social background. Disturbed individuals might well claim to be acting in the name of Satan with no more plausibility than another might kill in the cause of Christ or Allah.",author,direct_statement,contested,/Users/celestinmeunier/Documents/cults/thesis/corpus/processed/literature/criterion_expressions.jsonl,2163,,,,,,none
7,literature,2008-the-oxford-handbook-of-new-religious-movements-1,470,"If Eller is correct, then spiritual feminism may well be doing exactly what its critics charge-seducing women into trading the hope of real political power for a sense of spiritual power that is belied by women's actual status","Eller's approach is qualitative, relying upon numerous research approaches, including ten years of participant observation, attendance at many spiritual feminist events and gatherings, a broad and thorough reading of the movement's primary source literature, and interviews with selected spiritual feminist practitioners. Her focus is on women who have taken their sex and gender as the principal themes around which their theology and practice are constructed with a view to empowerment, which both implies and requires that the expression of feminist ideals in a spiritual framework be a fundamental appeal of her participants' religious practice. Generally, this revolves around the celebration of a Goddess and the aspects of inner divinity that reside and are expressed within women's experiences of the world. Eller's demarcation of what she defines as 'feminist spirituality' is guided by several key considerations: that the movement is separatist, inasmuch as it is focused on and directed toward women; that it is centered outside of traditional religions; and that it is feminist, 'believing that either women's condition or the general state of gender roles in society as we find them are unsatisfactory or need to be changed' (1993: 7).
Aside from Neo-Paganism, Eller reports that the other major influence on spiritual feminism has been the New Age movement. She notes that spiritual feminist workshops and seminars are often offered by New Age centers, and that spiritual feminists frequent New Age shops to purchase books, jewelry, and other items they use in their practice. Despite this interpenetration, Eller cautions her readers against believing that feminist spirituality is nothing more than the 'women's auxiliary' of the New Age movement. Spiritual feminists have their own concerns, outside and beyond the goals of the New Age (1993: 64-65).
Eller discusses the tensions between the feminist spirituality movement and the feminist political movement. Many feminist activists view spirituality as an inappropriate and inadequate locus of praxis. Being personal, they assert, spirituality can never address the concerns and issues of women as a class. This tension began as the spiritual feminist movement gained prominence and popularity in the 1970s and peaked in the 1980s; it is much less apparent now, although the lack of overt attacks, Eller claims, should not be taken as an indication that the tensions no longer exist, but rather that they are simmering right below the surface (1993: 188-191). Eller identifies the political agenda of spiritual feminists as one that approaches the oppression of women through the ecology movement (1992: 192).
Ultimately, Eller asserts, much of the appeal of feminist spirituality can be explained by relative deprivation theory. Women, she argues, and especially white, middle-class women, despite a century of activism, still have not achieved parity with men. Having been socialized into the same aspirations and expectations as men, women find themselves without the legitimate, socially-approved means of attaining their goals. Unwilling to give up the aspirations to power and equality, women are attracted to spiritual feminism as an alternative way to attain them (1993: 212). If Eller is correct, then spiritual feminism may well be doing exactly what its critics charge-seducing women into trading the hope of real political power for a sense of spiritual power that is belied by women's actual status.",author,direct_statement,speculative,/Users/celestinmeunier/Documents/cults/thesis/corpus/processed/literature/criterion_expressions.jsonl,4083,,,,,,overlong
8,literature,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other,227,violent episodes are fundamentally interactive in nature,"Past Lessons, Future Perspective
Next Level established the basis for the group's decision to take their own lives. Ian Reader observes a parallel pattern in Aum Shinrikyˆ o. Its condemnation of conventional society and its sense of persecution existed for some time; it was the group's legitimation of violence to control dissidents that led to the ultimate confrontation with authorities. While several analyses identify the specific moments in the histories of these movements when radical organizational and behavioral changes occurred and the dynamics operating at those moments, a more thorough understanding of any continuities across movements awaits further specification.
a114 One of the lessons that clearly emerges from both the theoretical formulations and episode case studies is that violent episodes are fundamentally interactive in nature. That said, it is equally true that the primary impetus toward violence may emanate from either movement or control agents. This point is supported by the contrasting analyses in the Heaven's Gate and Branch Davidian cases. Robert Balch and David Taylor acknowledge the influence of external influences on the trajectory of Heaven's Gate, but they are quite emphatic that it was largely developments within the movement that account for its final climactic departure. By contrast, John Hall emphasizes the role of external agents - oppositional groups, the media, and regulatory agencies in the Branch Davidian conflagration. Since most cases involve interactive exchanges, it probably is more useful to think in terms of dangerous situations rather than dangerous organizations .
a114 If most Dramatic Denouements involve interactive exchanges between movements and societal institutions, then it is important to understand the internal dynamics on both sides in equal depth and detail. To date at least, social scientists studying religious violence have directed less attention to the study of control agencies than to movements. Comparable analyses of the destabilizing attributes of these agencies is equally integral to future analyses of violent episodes. For example, there is evidence that police officers are most likely to resort to force in arrest situations when their authority and legitimacy are challenged; that public protest situations have sometimes degenerated into simultaneous riots by both protestors and police; and that police are likely to rationalize the excessive use of force where there are strong police subcultures in which all outsiders are viewed with mistrust. Some of the basic findings on control agents could be fashioned into a more sophisticated understanding of control agency behavior. Some beginnings have been made in this",author,direct_statement,asserted,/Users/celestinmeunier/Documents/cults/thesis/corpus/processed/literature/criterion_expressions.jsonl,5808,,,,,,overlong
9,literature,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other-2081,200,Could Olivia promote her beliefs without preaching on the streets?,"Olivia said that she had never heard of feminist theology and declined to do any homework reading. I offered to read a bit about it (the therapist often does the homework in the early sessions) and bring my findings back to our next session for discussion. Olivia was, for the first time, mildly interested in what I would discover about this subject. I read excerpts from Simone de Beauvoir (1949) about feminist philosophy and from Carol P . Christ (1997), who had written an influential book titled Rebirth of the Goddess and had been fundamental in launching the Goddess movement across the United States. Discussing this material did not make the delusion worse or systematize it further. Instead, it allowed Olivia to realize that some of her beliefs were partially held by others and were at least in part true. I learned a number of things that I did not know, so I was able to show interest and enthusiasm about some of the ideas in feminist theology.
Having achieved a degree of engagement, I felt it was time to attempt to make the situation safer. Could Olivia promote her beliefs without preaching on the streets? This was the first bit of homework that Olivia became involved in. We considered how other religions promoted their ideas in the current day. YouT ube, blogs, and leaflets seemed most common. Olivia decided to write a blog once a week and post it. There is an apparent contradiction here because Olivia believed microbots (small transmitters in her blood) were already transmitting her thoughts to others via social media. Interestingly, Olivia did not know anything about social media, did not have an account, and did not know how to post a blog. The blog was written and posted online, and it was agreed that Olivia would wait for responses and would not preach on the streets for a week.We had successfully engaged over the first 10 sessions of CBT (3 were not attended), the risk had been reduced, and toward the end of the 10 sessions the discussion was much less controlled by Olivia and was more collaborative.
Scaffolding
The second phase includes developing scaffolding activities and coping strategies and (if appropriate) using metacognitive approaches. The concept of developing scaffolding activities relates to the fact that delusional systems are inherently weak belief structures and are prone to collapse if the appropriate trajectory is followed. Therefore the therapist scaffolds by asking the patient to consider their previous interests, skills, and hobbies and whether any of these might be reactivated.",author,question_or_reflection,asserted,/Users/celestinmeunier/Documents/cults/thesis/corpus/processed/literature/criterion_expressions.jsonl,6257,,,,,,none
10,literature,bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen,18,Producing a tentative attitude toward NRMs facilitates a more balanced assessment,"Rochford notes that students are likely to be particularly suspicious of NRM leadership and organization, subscribing to the conventional view that both are exploitive. He suggests a series of exercises that allow students to adopt an open, inquiring perspective. For instance, Rochford initially attempts to convince students to question what they think they know by asking them to state what they think, to identify the sources of that information, and then to place themselves inside an NRM. Producing a tentative attitude toward NRMs facilitates a more balanced assessment as the course proceeds. Rochford takes a similar approach toward a discussion of charisma. He offers suggestions for getting students to see charisma as a relationship rather than as a set of inherent characteristics. Once they are responsive to this perspective, it becomes easier for them to understand charismatic relationships and how individuals might become part of abusive or exploitive relationships. Understanding charisma relationally also permits students to address the questions of what might make those relationships unstable and how charismatic leaders might seek to preserve their privileged positions in the face of challenges. With regard to organization, Rochford recognizes another issue for students: identifying with an organization that limits personal freedom. He suggests asking students to consider reasons individuals might join highly structured communal groups and also to identify the characteristics of communal groups in more conventional organizations as a means of understanding participation in an NRM. As to putting these various lessons together, Rochford recommends having students create a fictitious NRM as a means of testing whether they understand the basic organizational characteristics.
Another means of providing students with a perspective on NRMs and the controversy surrounding NRMs is to encourage them to undertake their own research. Rochford recommends asking students to explore the various perspectives on a selected NRM. This means examining and comparing the information available on scholarly sites, group-maintained sites, and oppositional group sites. A variety of questions naturally arise about the sources and the meaning of conflicting information. The website project can be followed up with a term paper on NRM organization that examines a specific group. Finally, Rochford suggests visiting an NRM or having representatives in class so that students can relate to the group and its members in more human terms. He offers a range of questions to structure the student-group encounter.",author,direct_statement,asserted,/Users/celestinmeunier/Documents/cults/thesis/corpus/processed/literature/criterion_expressions.jsonl,6855,,,,,,off_topic
