criterion_key,criterion_label,generated_all_mean_cos,generated_name_matched_mean_cos,religious_baseline_mean_cos,secular_corpus_native_mean_cos,matched_minus_religious
crit-radical-behavior-change,Le changement radical de comportement,0.4174,0.4042,0.3734,0.3769,0.0308
crit-indoctrination-of-children,L'embrigadement des enfants,0.3872,0.3774,0.3724,0.3378,0.005
crit-infiltration-public-authorities,Les tentatives d'infiltration des pouvoirs publics,0.3895,0.3691,0.347,0.354,0.0221
crit-alarming-dietary-change,Le changement inquiétant des habitudes alimentaires,0.3668,0.3509,0.3196,0.3114,0.0313
crit-rupture-origin-environment,"La rupture avec l'environnement d'origine (proches, famille)",0.3591,0.3503,0.3348,0.3001,0.0155
crit-harsh-living-conditions,Les conditions de vie particulièrement éprouvantes ou déstabilisantes,0.3614,0.339,0.3064,0.3463,0.0326
crit-difficulty-leaving-group,De grandes difficultés voire une impossibilité pour un membre de quitter ledit groupe,0.3381,0.3374,0.3269,0.315,0.0105
crit-deceptive-recruitment,Les méthodes de recrutement trompeuses,0.3438,0.3336,0.2921,0.333,0.0415
crit-public-order-contestation,La contestation des institutions et les troubles à l'ordre public ; la menace d'atteinte à l'ordre public,0.3504,0.3238,0.3038,0.3168,0.02
crit-authoritarian-opaque-group,"L'existence d'un groupe organisé sur un mode autoritaire, opaque et cloisonné, avec présence d'un dirigeant de type leader charismatique ou praticien référent exclusif",0.3346,0.3212,0.3031,0.3307,0.0181
crit-violation-republic-principles,La violation des principes fondateurs de la République,0.3459,0.3202,0.3135,0.3257,0.0067
crit-physical-integrity-harm,"Les atteintes à l'intégrité physique des personnes en état de faiblesse et d'ignorance, et plus généralement la commission d'actes criminels ou délictueux sur des individus, majeurs ou mineurs",0.335,0.3137,0.2847,0.2888,0.029
crit-rejection-of-outside-world,Le refus de l'autre et le dénigrement du monde extérieur : l'absence totale d'accès aux médias ou moyens de communication,0.3182,0.3032,0.2896,0.3031,0.0136
crit-financial-demands-opacity,"Le caractère exorbitant des exigences financières ; la violation des règlements ou de la loi (travail illégal, formation professionnelle déviante…) et/ou l'opacité de la gestion financière",0.3141,0.2975,0.2496,0.2921,0.0479
crit-dubious-care-exclusive,L'offre de soins et de médicaments douteux et exclusive du recours à des pratiques conventionnelles,0.3165,0.296,0.2774,0.2829,0.0186
crit-legal-disputes,L'importance des démêlés judiciaires,0.3069,0.292,0.2661,0.2823,0.0259
crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,0.3138,0.2895,0.2719,0.3023,0.0176
