group,group_n,rank,key,label,euclidean_distance,cosine_similarity
rapport,94,1,mission-interministe-rielle-de-vigilance-et-de-lutte-contre-les-de-rives-sectair:1,sectarian deviations,0.6449090341051855,0.7756502291720258
rapport,94,2,mission-interministe-rielle-de-vigilance-et-de-lutte-contre-les-de-rives-sectair:14,sectarian deviations,0.6449090341051855,0.7756502291720258
rapport,94,3,mission-interministe-rielle-de-vigilance-et-de-lutte-contre-les-de-rives-sectair:60,Sensitization to the issues of sectarian deviations,0.6483575452660683,0.7721833061003948
rapport,94,4,mission-interministe-rielle-de-vigilance-et-de-lutte-contre-les-de-rives-sectair:101,of a sectarian drift,0.6552149126815086,0.76523497947448
rapport,94,5,mission-interministe-rielle-de-vigilance-et-de-lutte-contre-les-de-rives-sectair:39,The new digital tools also facilitate the emergence and spread of sectarian deviations.,0.6574600499558587,0.762943604807562
rapport,94,6,mission-interministe-rielle-de-vigilance-et-de-lutte-contre-les-de-rives-sectair:7,the sectarian deviations,0.6613927372615792,0.7589116355354202
rapport,94,7,mission-interministe-rielle-de-vigilance-et-de-lutte-contre-les-de-rives-sectair:89,Sectarian deviations are very often entangled with other situations of violence and danger in which the minor is the victim.,0.6621060986982513,0.7581781683232938
rapport,94,8,mission-interministe-rielle-de-vigilance-et-de-lutte-contre-les-de-rives-sectair:59,sectarian movements,0.6663284752306843,0.753817494008953
rapport,94,9,mission-interministe-rielle-de-vigilance-et-de-lutte-contre-les-de-rives-sectair:55,the sectarian phenomenon,0.6669207381816634,0.753203759386113
rapport,94,10,mission-interministe-rielle-de-vigilance-et-de-lutte-contre-les-de-rives-sectair:3,"Sectarian deviations constitute behaviors that, through various means—particularly by relying on beliefs or doctrines—aim to place individuals in a state of submission that results in multiple personal and financial damages.",0.6735538017773344,0.7462920832480993
sectarian_drift_list,17,1,crit-mental-destabilization,La déstabilisation mentale et la sujétion psychologique ou physique conduisant à des actions ou abstentions gravement préjudiciables aux personnes et plus généralement à la perte d'esprit critique et d'autonomie,0.6483960305108069,0.7640615694515671
sectarian_drift_list,17,2,crit-harsh-living-conditions,Les conditions de vie particulièrement éprouvantes ou déstabilisantes,0.6573333205397432,0.7557164409612283
sectarian_drift_list,17,3,crit-physical-integrity-harm,"Les atteintes à l'intégrité physique des personnes en état de faiblesse et d'ignorance, et plus généralement la commission d'actes criminels ou délictueux sur des individus, majeurs ou mineurs",0.6824956749479508,0.7316080035692443
sectarian_drift_list,17,4,crit-difficulty-leaving-group,De grandes difficultés voire une impossibilité pour un membre de quitter ledit groupe,0.682556022751559,0.7315492662443487
sectarian_drift_list,17,5,crit-financial-demands-opacity,"Le caractère exorbitant des exigences financières ; la violation des règlements ou de la loi (travail illégal, formation professionnelle déviante…) et/ou l'opacité de la gestion financière",0.6884876426339431,0.7257332787227185
sectarian_drift_list,17,6,crit-radical-behavior-change,Le changement radical de comportement,0.6902077886696056,0.7240375620864683
