id,batch,source_file,date_time,date_time_precision,method,language,translated,translation_language,interviewer,participant_id,location,age,gender,nationality,main_language,language_spoken,n_questions,n_answers,total_word_count,notes
b1-aug05-1650,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 5 at 16-50.txt,2026-08-05T16:50,,in person,English,False,,researcher (thesis author),b1-aug05-1650,Slovakia,44,other,Slovak (see notes — no notes section present in source),Slovak,English (not explicitly stated as different from main language),3,3,273,"Nationality field says '(see notes)' in the source but no notes section exists there — left verbatim, flagged as a data-quality gap."
b1-aug06-1955,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 6 at 19-55.txt,2026-08-06T19:55,,in person,English,False,,researcher (thesis author),b1-aug06-1955,Germany,26,female,Ukrainian,Ukrainian,English,4,7,410,
b1-aug08-1420,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 8 at 14-20.txt,2026-08-08T14:20,,in person,English,False,,researcher (thesis author),b1-aug08-1420,Germany,33,female,dual Australian/Iranian,English,English,6,6,466,
b1-aug08-2128,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 8 at 21-28.txt,2026-08-08T21:28,,in person,English,False,,researcher (thesis author),b1-aug08-2128,United States,29,female,German,German,English,6,6,564,
b1-aug08-2137,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 8 at 21-37.txt,2026-08-08T21:37,,in person,English,False,,researcher (thesis author),b1-aug08-2137,Germany,35,male,Mexican,Spanish,English,8,8,789,
b1-aug08-2145,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 8 at 21-45.txt,2026-08-08T21:45,,in person,English,False,,researcher (thesis author),b1-aug08-2145,Germany,36,male,French,French,English,8,8,650,
b1-aug09-2048,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 9 at 20-48.txt,2026-08-09T20:48,,in person,English,False,,researcher (thesis author),b1-aug09-2048,Germany,34,male,Ukrainian,Russian,English,18,20,1157,Contains profanity and explicit content preserved verbatim per instructions (discussion of the Russian Orthodox Church and MK Ultra-adjacent topics).
b1-aug09-2124,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 9 at 21-24.txt,2026-08-09T21:24,,in person,English,False,,researcher (thesis author),b1-aug09-2124,Germany,32,male,American / German-American (see notes — no notes section present in source),English,English,1,3,230,"Nationality field says '(see notes)' in the source but no notes section exists there — left verbatim, flagged as a data-quality gap. Interview is short (one topic: bike polo as a 'cult')."
b1-aug11-2011,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 11 at 20-11.txt,2026-08-11T20:11,,in person,English,False,,researcher (thesis author),b1-aug11-2011,Germany,32,female,Italian,Italian,English,4,9,938,
b1-aug12-1231,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 12 at 12-31.txt,2026-08-12T12:31,,in person,English,False,,researcher (thesis author),b1-aug12-1231,Germany,53,male,German,German,English,11,12,633,
b1-aug13-1342,Interview Batch 1,Interview Batch 1/Transcripts Finished/Aug 13 at 13-42.txt,2026-08-13T13:42,,in person,English,False,,researcher (thesis author),b1-aug13-1342,"Berlin, Germany",35,female,Syrian,Arabic,English,10,11,1554,Contains profanity preserved verbatim per instructions.
b2-aug13-1832,Interview Batch 2,Interview Batch 2/Transcripts Finished/Aug 13 at 18-32.txt,2026-08-13T18:32,,in person,English,False,,researcher (thesis author),b2-aug13-1832,Germany,44,male,Canadian,English,English,8,11,710,"File's own TRANSCRIPTION/EDITING NOTES reference names ('Mr. Mooney', 'Annie') absent from the current dialogue text — likely stale relative to this revision; left as-is, flagged for analysis.md."
b2-aug13-1840,Interview Batch 2,Interview Batch 2/Transcripts Finished/Aug 13 at 18-40.txt,2026-08-13T18:40,,in person,English,False,,researcher (thesis author),b2-aug13-1840,"Berlin, Germany",43,male,Italian,Italian,English,5,6,310,
b3-aug16-1514,Interview Batch 3,Interview Batch 3/Transcripts Finished/Aug 16 at 15-14 (1).txt,2026-08-16T15:14,,in person,English,False,,researcher (thesis author),b3-aug16-1514,Germany,34,female,Greek and German,Greek,English,3,4,238,
b3-aug16-1517,Interview Batch 3,Interview Batch 3/Transcripts Finished/Aug 16 at 15-17 (1).txt,2026-08-16T15:17,,in person,English,False,,researcher (thesis author),b3-aug16-1517,Germany,36,female,Turkish,Turkish,English,3,4,172,"Source file has no 'INTERVIEW — date, time' header (unlike other Batch 3 files); date_time above is taken from the filename."
b3-aug18-1645,Interview Batch 3,Interview Batch 3/Transcripts Finished/Aug 18 at 16-45.txt,2026-08-18T16:45,,in person,French,True,English,researcher (thesis author),b3-aug18-1645,France,32,male,French,French,French,4,7,331,
b3-aug21-1932,Interview Batch 3,Interview Batch 3/Transcripts Finished/Aug 21 at 19-32.txt,2026-08-21T19:32,,in person,French,True,English,researcher (thesis author),b3-aug21-1932,Spain,32,male,French,French,French,5,7,298,
b3-aug22-2057,Interview Batch 3,Interview Batch 3/Transcripts Finished/Aug 22 at 20-57.txt,2026-08-22T20:57,,in person,French,True,English,researcher (thesis author),b3-aug22-2057,"France (inferred from context, not explicitly captured — see file's own notes)",32,male,French,French,French,3,3,412,Interview ends abruptly with no closing exchange; treated as complete per the batch's own merging analysis (no continuation file exists).
b3-aug22-2101,Interview Batch 3,Interview Batch 3/Transcripts Finished/Aug 22 at 21-01.txt,2026-08-22T21:01,,in person,French,True,English,researcher (thesis author),b3-aug22-2101,France,32,female,French,French,French,4,5,475,
b3-aug23-1213,Interview Batch 3,Interview Batch 3/Transcripts Finished/Aug 23 at 12-13.txt,2026-08-23T12:13,,in person,French,True,English,researcher (thesis author),b3-aug23-1213,France,97,male,French,French,French,5,7,253,Stated age (97) and gender are flagged as unreliable/possibly joking by the batch's own edited-transcripts README; reported here exactly as stated in the source.
ig-02,Instagram Batch,Instagram Batch/Transcirpts-Finished/2.txt,2026-08-13,date only — no time of day given in source,Instagram,English,False,,researcher (thesis author),ig-02,Germany,27,female,Turkish,Turkish,English,3,3,224,"Instagram DM interview, gathered after a story post; conducted via direct message per the file's own Interview Notes."
ig-03,Instagram Batch,Instagram Batch/Transcirpts-Finished/3.txt,2026-08-13,date only — no time of day given in source,Instagram,English,False,,researcher (thesis author),ig-03,Germany,29,male,Lebanese,Arabic,English,1,10,178,Instagram DM interview. One phrase ('OR import but underground art') is possibly a dropped-syllable typo for 'important' — left uncorrected pending confirmation (see corrections.log).
ig-04,Instagram Batch,Instagram Batch/Transcirpts-Finished/4.txt,2026-08-13,date only — no time of day given in source,Instagram,English,False,,researcher (thesis author),ig-04,Germany,38,female,Portuguese,Portuguese,English,3,7,231,"Instagram DM interview. Contains deliberate leetspeak stylization ('isr43l') preserved verbatim as the interviewee's own phrasing, not corrected."
ig-05,Instagram Batch,Instagram Batch/Transcirpts-Finished/5.txt,2026-08-13,date only — no time of day given in source,Instagram,English,False,,researcher (thesis author),ig-05,Germany,34,female,Ukrainian,Ukrainian,English,2,2,111,Instagram DM interview; shortest in the corpus (single exchange).
ig-06,Instagram Batch,Instagram Batch/Transcirpts-Finished/6.txt,2026-08-13,date only — no time of day given in source,Instagram,English,False,,researcher (thesis author),ig-06,unknown — redacted in source,redacted,redacted,redacted,unknown — redacted in source,English,2,2,122,"Demographics explicitly redacted by the source per its own ethical note (see thesis/04_Appendix/3_Appendix.tex, Ethical Notice)."
ig-07,Instagram Batch,Instagram Batch/Transcirpts-Finished/7.txt,2026-08-13,date only — no time of day given in source,Instagram,English,False,,researcher (thesis author),ig-07,Germany,32,male,Dutch / Italian,Dutch,English,4,4,273,
