cluster_id,size,internal_dispersion_mean,distance_to_grand_centroid,binding_expression_1,binding_expression_2,binding_expression_3,nearest_entity,nearest_entity_euclidean_distance,nearest_entity_cosine_similarity,entity_gap
57,143,0.6843,0.3522,new religious movements,new religious movements,new religious movements,understanding new religious movements,0.5743,0.8249,False
24,141,0.7615,0.3334,the Muslim Brotherhood,the Black Muslims,BLACK MUSLIMS,islamists,0.6254,0.7946,False
25,134,0.7852,0.3548,Rissho ¯ Ko ¯seikai,Soka Gakkai,Soka Gakkai,so ¯ka gakkai,0.6738,0.751,True
32,129,0.694,0.3768,the Church of Jesus Christ of Latter-day Saints,the Church of Jesus Christ of Latter-day Saints,the Church of Jesus Christ of Latter-day Saints,the church of jesus christ of latter-day saints,0.5134,0.8726,False
52,117,0.6241,0.4245,cults,cults,cults,ufo cults,0.5208,0.8583,False
51,97,0.7479,0.3654,"We don't approach/go towards the groups, we do not have the time.",the religious experience under consideration is not genuine,"it has so few of the aspects of a religion, no hierarchy, no membership system, no structure, not even a network connecting regions or neighborhoods",anonymous,0.7658,0.6434,True
11,86,0.6626,0.4372,NRMs are religions.,NRMs are simply caught up in a process which affects all religious collectivities.,Various NRMs share beliefs and practices that tie them to certain religious traditions.,nrms,0.642,0.7669,True
40,85,0.6638,0.4173,brainwashing,brainwashing,brainwashing,brainwashing,0.5088,0.8716,False
19,82,0.6767,0.4026,New Age movement,the New Age movement,the New Age Movement,the new age movement,0.4851,0.8893,False
27,82,0.6273,0.4442,the Unification Church,the Unification Church,the Unification Church,the unification church,0.3605,0.952,False
54,76,0.676,0.4035,charismatic leadership and authority,charismatic leadership,charismatic leadership,charismatic authority,0.5197,0.8647,False
15,75,0.6812,0.3935,Satanism,Satanism,Satanism,satanism,0.5287,0.8589,False
42,73,0.6914,0.3561,sects,sects,sects,sectes,0.5735,0.8265,False
34,64,0.7201,0.3321,The Theosophical Society,Theosophical Society,Theosophical Society,theosophical society,0.5013,0.8888,False
55,63,0.7236,0.3187,This is Christianity.,The bodies of saints are enormously powerful.,The Christ is now here.,god is love,0.6947,0.7201,True
1,60,0.6836,0.4867,the Branch Davidians,the Branch Davidians,the Branch Davidians,the branch davidians,0.4884,0.8892,False
47,60,0.6426,0.4444,anti-cult movement,anti-cult,anti-cult,the anti-cult movement,0.5104,0.8668,False
30,59,0.6327,0.4749,The Family (formerly the Children of God),The Family (formerly known as the Children of God),The Family (formerly known as the Children of God),the family (formerly the children of god),0.4408,0.9101,False
43,59,0.7173,0.3213,mental manipulation,mental manipulation,mental manipulation,coercive persuasion,0.6225,0.7886,False
20,57,0.7193,0.4811,"Osho, founder of the Rajneesh Movement",the Rajneesh movement,the Osho Rajneesh group,rajneesh movement,0.5726,0.8324,False
39,56,0.6924,0.3528,New Religious Movements,New Religious Movements,New Religious Movements,new religious movements,0.4742,0.9002,False
5,55,0.6829,0.4161,the International Society for Krishna Consciousness (ISKCON),the International Society for Krishna Consciousness (ISKCON),The International Society for Krishna Consciousness (ISKCON),the international society for krishna consciousness,0.5177,0.8683,False
16,54,0.7172,0.3521,Wicca is a tradition in its own right,"Witchcraft, or Wicca, is the fastest growing 'religion' in the USA today.",Wicca,wicca,0.628,0.7833,False
58,54,0.6696,0.3868,The major criterion of the concept of cult is its oppositional nature: A cult is a group that has beliefs and/or practices that are counter to those of the dominant culture.,Cults are problematic,"Viewed parochially, cults can appear to be the strange activity of cultural outcasts, those small groups always on the edge of culture, always dissenting, always strange, sometimes sinister.",comprehending cults,0.633,0.775,False
37,53,0.6386,0.4746,The Family,The Family,The Family,the family,0.4288,0.9168,False
26,50,0.6348,0.5308,Aum Shinrikyo,Aum Shinrikyo,Aum Shinrikyo,aum shinrikyo,0.4012,0.9326,False
50,49,0.7324,0.3305,Male Left leadership [in other groups] seemed pompous and uncaring.,a very controlling environment existed in both as well.,"The way they looked, the way they presented themselves was otherworldly, I guess you would say.",yelling,0.7499,0.6618,True
0,47,0.5957,0.5272,the Peoples Temple,the Peoples Temple,the Peoples Temple,the peoples temple,0.3702,0.9431,False
23,46,0.7204,0.4514,Sathya Sai Baba,Sathya Sai Baba,Sathya Sai Baba,sathya sai baba,0.5724,0.8328,False
